设备编号,月平均负荷率异常变化率,月最大负荷率异常变化率,环境温度（℃）异常变化率,油温（℃）异常变化率,绕组温度（℃）异常变化率,绝缘电阻（MΩ）异常变化率,介质损耗角tanδ异常变化率,局部放电量（pC）异常变化率,SF6气体压力（MPa）异常变化率
EQ-0001,0.4134753225476142,0.4179662465285196,0.5726872246696036,0.33567188343227183,0.31907613344739083,-0.03746613432197354,0.03886010362694288,-0.236842105263158,
EQ-0003,0.1496505701224316,0.13840073993105176,0.0572012257405516,0.16659182757072286,0.14163090128755368,-0.3117289719626169,-0.048275862068965454,0.8846153846153846,
EQ-0004,0.2134272300469484,0.22926346256379,0.43293115684882905,0.2386518075564013,0.17902813299232717,0.08322024573629201,-0.021474878444084317,0.6283422459893045,
EQ-0005,0.027989083096219745,0.030564875672197456,-0.5799207397622194,-0.2746585735963581,-0.24329813160032487,0.09157851912123685,0.013966480446927436,0.13793103448275854,
EQ-0006,0.04153763296081889,0.008549277824978703,-0.6754507628294035,,,-0.13509917755200773,,,0.08651226158038147
EQ-0008,0.25090252707581256,0.20475073313783002,-0.13536269430051806,,,0.19337469273089078,,,0.04429967426710108
EQ-0011,-0.29563194623933853,-0.24257550335570469,-0.4164222873900294,,,0.07644755821141558,,,-0.012390670553935952
EQ-0012,-0.2395852880465377,-0.2465043439352697,-0.3202247191011235,,,0.25848953594176527,,,0.03941908713692938
EQ-0013,0.15237066054302312,0.1870930609014714,0.002994011976047947,,,0.1140066573230554,,,0.06889495225102332
EQ-0014,0.19671509106678253,0.1520999829960892,0.03696857670979654,,,-0.24105150406141207,,,-0.09735744089012509
EQ-0016,0.02534520891864413,0.03854921229927576,0.02605400284225479,,,,,,
EQ-0017,-0.3292752442996743,-0.3627847847178079,-0.312621359223301,,,,,,
EQ-0020,0.13791955617198332,0.2614662168323152,0.022931206380857615,,,,,,
EQ-0021,-0.09235035708150306,-0.10239905222628101,0.012004801920768393,,,,,,
EQ-0022,0.1780492154065623,0.2351208565150312,0.5051635111876076,,,,,,
EQ-0024,-0.040681770358420494,-0.11341510367966572,1.1215469613259668,,,,0.21884200196270853,,
EQ-0025,-0.17873492297281154,-0.17239044210118992,-0.21888790820829668,,,,0.021798365122615744,,
EQ-0026,-0.1456541535970859,-0.12938243808298472,0.6914893617021276,,,,0.038819875776397686,,
EQ-0028,-0.026775602653292273,-0.03159561184445231,0.17355371900826444,,,,,,
EQ-0029,0.012382864792503471,0.05505524092470535,0.7988394584139265,,,,,,
EQ-0036,0.45490263067987724,0.4700641482537424,0.24647887323943649,0.17841930903928058,0.1921749136939007,0.36592316006681735,,0.5774193548387097,0.017928286852589657
EQ-0037,0.2780006170934897,0.2043928484750426,0.24439461883408067,0.1447733580018502,0.1453531598513011,0.28746837578006407,,-0.23419203747072592,-0.08254200146092042
EQ-0039,0.07919990029910268,0.09679878048780488,0.8426103646833013,0.2377142857142857,0.19331848552338535,0.40765190033427906,0.3985765124555161,0.6132075471698112,
