记录年月,设备编号,设备类型,所属变电站,月平均负荷率,月最大负荷率,环境温度（℃）,油温（℃）,绕组温度（℃）,绝缘电阻（MΩ）,介质损耗角tanδ,局部放电量（pC）,SF6气体压力（MPa）,距离故障月份,故障时间,故障类型
2023-01-01,EQ-0093,断路器,前海110kV变电站,0.571,0.6602,11.9,,,9517.0,,,0.539,0,2023-01-02 00:19:00,拒动/误动
2023-01-01,EQ-0038,GIS组合电器,龙华220kV变电站,0.5785,0.751,7.1,53.1,71.4,10040.0,,3.4,0.487,0,2023-01-02 19:12:00,机械故障
2023-01-01,EQ-0008,断路器,龙华220kV变电站,0.505,0.6125,10.5,,,6508.0,,,0.517,0,2023-01-04 12:47:00,外力因素
2023-01-01,EQ-0028,避雷器,龙华220kV变电站,0.6604,0.7951,9.1,,,,,,,0,2023-01-05 15:13:00,阀片劣化
2023-01-01,EQ-0394,GIS组合电器,重庆两江220kV变电站,0.6496,0.771,7.0,48.7,65.3,10586.0,,16.5,0.479,0,2023-01-06 11:11:00,机械故障
2023-01-01,EQ-0079,隔离开关,南沙110kV变电站,0.6337,0.8299,8.2,,,,,,,0,2023-01-12 08:29:00,机械故障
2023-01-01,EQ-0154,断路器,苏州工业园220kV变电站,0.5864,0.68,3.6,,,10093.0,,,0.529,0,2023-01-15 11:32:00,机械故障
2023-01-01,EQ-0067,GIS组合电器,松山湖220kV变电站,0.5907,0.7532,11.7,50.1,68.1,9563.0,,14.3,0.482,0,2023-01-18 19:13:00,SF6泄漏
2023-01-01,EQ-0301,断路器,武昌110kV变电站,0.4482,0.5534,2.3,,,9022.0,,,0.436,0,2023-01-27 14:31:00,拒动/误动
2023-01-01,EQ-0072,断路器,南沙110kV变电站,0.6086,0.7397,4.6,,,10230.0,,,0.44,0,2023-01-29 13:34:00,拒动/误动
2023-01-01,EQ-0043,断路器,松山湖220kV变电站,0.4852,0.581,8.4,,,9732.0,,,0.523,-1,2023-02-04 06:56:00,机械故障
2023-02-01,EQ-0043,断路器,松山湖220kV变电站,0.4227,0.5063,12.6,,,8068.0,,,0.442,0,2023-02-04 06:56:00,机械故障
2023-01-01,EQ-0250,避雷器,通州35kV变电站,0.6533,0.8316,3.0,,,,,,,-1,2023-02-07 00:55:00,阀片劣化
2023-02-01,EQ-0250,避雷器,通州35kV变电站,0.5294,0.6526,1.1,,,,,,,0,2023-02-07 00:55:00,阀片劣化
2023-01-01,EQ-0069,电力变压器,南沙110kV变电站,0.5723,0.6682,9.9,47.3,66.0,7888.0,0.00519,6.7,,-1,2023-02-07 11:50:00,油系统故障
2023-02-01,EQ-0069,电力变压器,南沙110kV变电站,0.5276,0.666,10.5,49.5,66.6,11268.0,0.00432,13.2,,0,2023-02-07 11:50:00,油系统故障
2023-01-01,EQ-0396,电力变压器,成都高新35kV变电站,0.5263,0.6216,6.6,43.0,59.5,9283.0,0.00431,13.5,,-1,2023-02-20 19:51:00,保护动作
2023-02-01,EQ-0396,电力变压器,成都高新35kV变电站,0.4565,0.5558,7.3,41.0,53.5,12277.0,0.00414,3.1,,0,2023-02-20 19:51:00,保护动作
2023-01-01,EQ-0399,断路器,成都高新35kV变电站,0.6478,0.822,2.1,,,10259.0,,,0.443,-1,2023-02-22 01:01:00,机械故障
2023-02-01,EQ-0399,断路器,成都高新35kV变电站,0.5501,0.6618,8.4,,,10749.0,,,0.491,0,2023-02-22 01:01:00,机械故障
2023-01-01,EQ-0129,电力变压器,临港110kV变电站,0.4946,0.6671,4.5,40.9,54.5,8699.0,0.00506,5.0,,-1,2023-02-22 14:18:00,保护动作
2023-02-01,EQ-0129,电力变压器,临港110kV变电站,0.4139,0.5288,6.8,40.4,57.3,12159.0,0.00487,11.1,,0,2023-02-22 14:18:00,保护动作
2023-01-01,EQ-0048,断路器,松山湖220kV变电站,0.5845,0.78,10.4,,,8073.0,,,0.467,-1,2023-02-22 23:05:00,外力因素
2023-02-01,EQ-0048,断路器,松山湖220kV变电站,0.4942,0.5819,10.3,,,6647.0,,,0.52,0,2023-02-22 23:05:00,外力因素
2023-01-01,EQ-0434,隔离开关,大连开发区35kV变电站,0.5161,0.6393,-2.8,,,,,,,-1,2023-02-24 09:25:00,机械故障
2023-02-01,EQ-0434,隔离开关,大连开发区35kV变电站,0.4337,0.5139,-3.8,,,,,,,0,2023-02-24 09:25:00,机械故障
2023-01-01,EQ-0208,隔离开关,昆山35kV变电站,0.5909,0.7297,3.0,,,,,,,-2,2023-03-02 01:55:00,绝缘故障
2023-02-01,EQ-0208,隔离开关,昆山35kV变电站,0.4607,0.5522,8.0,,,,,,,-1,2023-03-02 01:55:00,绝缘故障
2023-03-01,EQ-0208,隔离开关,昆山35kV变电站,0.4335,0.5062,10.5,,,,,,,0,2023-03-02 01:55:00,绝缘故障
2023-01-01,EQ-0333,断路器,长沙星沙110kV变电站,0.5961,0.7226,2.5,,,7667.0,,,0.504,-2,2023-03-02 18:11:00,拒动/误动
2023-02-01,EQ-0333,断路器,长沙星沙110kV变电站,0.5214,0.6724,4.3,,,10749.0,,,0.484,-1,2023-03-02 18:11:00,拒动/误动
2023-03-01,EQ-0333,断路器,长沙星沙110kV变电站,0.5289,0.626,11.7,,,8862.0,,,0.525,0,2023-03-02 18:11:00,拒动/误动
2023-01-01,EQ-0129,电力变压器,临港110kV变电站,0.4946,0.6671,4.5,40.9,54.5,8699.0,0.00506,5.0,,-2,2023-03-06 14:18:00,油系统故障
2023-02-01,EQ-0129,电力变压器,临港110kV变电站,0.4139,0.5288,6.8,40.4,57.3,12159.0,0.00487,11.1,,-1,2023-03-06 14:18:00,油系统故障
2023-03-01,EQ-0129,电力变压器,临港110kV变电站,0.398,0.497,13.9,55.4,68.3,13434.0,0.00258,6.7,,0,2023-03-06 14:18:00,油系统故障
2023-01-01,EQ-0146,避雷器,临港110kV变电站,0.4575,0.611,4.9,,,,,,,-2,2023-03-08 05:23:00,密封失效
2023-02-01,EQ-0146,避雷器,临港110kV变电站,0.4379,0.5836,8.2,,,,,,,-1,2023-03-08 05:23:00,密封失效
2023-03-01,EQ-0146,避雷器,临港110kV变电站,0.3765,0.5057,10.9,,,,,,,0,2023-03-08 05:23:00,密封失效
2023-01-01,EQ-0148,电力变压器,苏州工业园220kV变电站,0.6329,0.832,7.2,49.4,69.5,11110.0,0.00445,8.2,,-2,2023-03-08 09:48:00,油系统故障
2023-02-01,EQ-0148,电力变压器,苏州工业园220kV变电站,0.4956,0.6175,7.2,44.6,58.1,8732.0,0.00323,3.9,,-1,2023-03-08 09:48:00,油系统故障
2023-03-01,EQ-0148,电力变压器,苏州工业园220kV变电站,0.4661,0.5903,12.7,48.7,62.9,7502.0,0.00577,12.9,,0,2023-03-08 09:48:00,油系统故障
2023-01-01,EQ-0119,隔离开关,张江110kV变电站,0.5079,0.6336,7.9,,,,,,,-2,2023-03-08 17:59:00,接触不良
2023-02-01,EQ-0119,隔离开关,张江110kV变电站,0.4547,0.5913,7.2,,,,,,,-1,2023-03-08 17:59:00,接触不良
2023-03-01,EQ-0119,隔离开关,张江110kV变电站,0.4186,0.4944,15.1,,,,,,,0,2023-03-08 17:59:00,接触不良
2023-01-01,EQ-0424,避雷器,沈阳浑南110kV变电站,0.4927,0.6117,-1.9,,,,,,,-2,2023-03-21 16:22:00,阀片劣化
2023-02-01,EQ-0424,避雷器,沈阳浑南110kV变电站,0.4217,0.5115,0.0,,,,,,,-1,2023-03-21 16:22:00,阀片劣化
2023-03-01,EQ-0424,避雷器,沈阳浑南110kV变电站,0.4755,0.582,5.9,,,,,,,0,2023-03-21 16:22:00,阀片劣化
2023-01-01,EQ-0099,电容器组,前海110kV变电站,0.6463,0.8604,7.8,,,,0.00567,,,-2,2023-03-26 16:14:00,鼓肚渗油
2023-02-01,EQ-0099,电容器组,前海110kV变电站,0.512,0.6199,12.4,,,,0.00429,,,-1,2023-03-26 16:14:00,鼓肚渗油
2023-03-01,EQ-0099,电容器组,前海110kV变电站,0.5172,0.6319,16.5,,,,0.00489,,,0,2023-03-26 16:14:00,鼓肚渗油
2023-01-01,EQ-0424,避雷器,沈阳浑南110kV变电站,0.4927,0.6117,-1.9,,,,,,,-3,2023-04-02 11:42:00,阀片劣化
2023-02-01,EQ-0424,避雷器,沈阳浑南110kV变电站,0.4217,0.5115,0.0,,,,,,,-2,2023-04-02 11:42:00,阀片劣化
2023-03-01,EQ-0424,避雷器,沈阳浑南110kV变电站,0.4755,0.582,5.9,,,,,,,-1,2023-04-02 11:42:00,阀片劣化
2023-04-01,EQ-0424,避雷器,沈阳浑南110kV变电站,0.441,0.591,13.7,,,,,,,0,2023-04-02 11:42:00,阀片劣化
2023-01-01,EQ-0187,断路器,杭州滨江110kV变电站,0.6056,0.7976,2.6,,,10488.0,,,0.489,-3,2023-04-14 20:20:00,绝缘故障
2023-02-01,EQ-0187,断路器,杭州滨江110kV变电站,0.5914,0.7324,8.7,,,11994.0,,,0.513,-2,2023-04-14 20:20:00,绝缘故障
2023-03-01,EQ-0187,断路器,杭州滨江110kV变电站,0.5175,0.6101,17.2,,,10836.0,,,0.523,-1,2023-04-14 20:20:00,绝缘故障
2023-04-01,EQ-0187,断路器,杭州滨江110kV变电站,0.5309,0.6768,17.0,,,9643.0,,,0.512,0,2023-04-14 20:20:00,绝缘故障
2023-01-01,EQ-0404,电容器组,成都高新35kV变电站,0.6143,0.7459,7.6,,,,0.0032,,,-3,2023-04-17 01:35:00,绝缘击穿
2023-02-01,EQ-0404,电容器组,成都高新35kV变电站,0.5867,0.7364,9.6,,,,0.00497,,,-2,2023-04-17 01:35:00,绝缘击穿
2023-03-01,EQ-0404,电容器组,成都高新35kV变电站,0.5857,0.7412,12.8,,,,0.00317,,,-1,2023-04-17 01:35:00,绝缘击穿
2023-04-01,EQ-0404,电容器组,成都高新35kV变电站,0.5493,0.6785,18.7,,,,0.00427,,,0,2023-04-17 01:35:00,绝缘击穿
2023-01-01,EQ-0082,避雷器,南沙110kV变电站,0.6818,0.9124,13.4,,,,,,,-3,2023-04-20 18:18:00,密封失效
2023-02-01,EQ-0082,避雷器,南沙110kV变电站,0.5772,0.7023,11.2,,,,,,,-2,2023-04-20 18:18:00,密封失效
2023-03-01,EQ-0082,避雷器,南沙110kV变电站,0.5294,0.6445,16.1,,,,,,,-1,2023-04-20 18:18:00,密封失效
2023-04-01,EQ-0082,避雷器,南沙110kV变电站,0.5624,0.7343,25.6,,,,,,,0,2023-04-20 18:18:00,密封失效
2023-01-01,EQ-0283,电力变压器,石家庄高新35kV变电站,0.6405,0.7763,-0.2,46.7,65.2,9476.0,0.00557,2.6,,-3,2023-04-26 14:56:00,机械故障
2023-02-01,EQ-0283,电力变压器,石家庄高新35kV变电站,0.591,0.7484,4.8,41.9,58.0,10274.0,0.00316,7.3,,-2,2023-04-26 14:56:00,机械故障
2023-03-01,EQ-0283,电力变压器,石家庄高新35kV变电站,0.5535,0.7009,10.7,47.7,65.2,9438.0,0.00493,4.0,,-1,2023-04-26 14:56:00,机械故障
2023-04-01,EQ-0283,电力变压器,石家庄高新35kV变电站,0.5273,0.6779,12.5,50.0,68.3,8140.0,0.00412,12.7,,0,2023-04-26 14:56:00,机械故障
2023-01-01,EQ-0361,避雷器,武侯110kV变电站,0.6864,0.7936,9.4,,,,,,,-3,2023-04-27 19:47:00,接地故障
2023-02-01,EQ-0361,避雷器,武侯110kV变电站,0.5778,0.7115,5.3,,,,,,,-2,2023-04-27 19:47:00,接地故障
2023-03-01,EQ-0361,避雷器,武侯110kV变电站,0.5292,0.6376,15.1,,,,,,,-1,2023-04-27 19:47:00,接地故障
2023-04-01,EQ-0361,避雷器,武侯110kV变电站,0.5262,0.6981,17.8,,,,,,,0,2023-04-27 19:47:00,接地故障
2023-02-01,EQ-0106,GIS组合电器,前海110kV变电站,0.4844,0.6176,12.8,45.7,57.3,10181.0,,14.9,0.469,-3,2023-05-04 06:19:00,SF6泄漏
2023-03-01,EQ-0106,GIS组合电器,前海110kV变电站,0.4623,0.5991,17.8,53.9,67.8,8925.0,,14.7,0.498,-2,2023-05-04 06:19:00,SF6泄漏
2023-04-01,EQ-0106,GIS组合电器,前海110kV变电站,0.4855,0.6192,22.2,63.1,76.6,12466.0,,3.5,0.527,-1,2023-05-04 06:19:00,SF6泄漏
2023-05-01,EQ-0106,GIS组合电器,前海110kV变电站,0.5322,0.6361,31.2,69.1,84.5,7897.0,,9.4,0.488,0,2023-05-04 06:19:00,SF6泄漏
2023-02-01,EQ-0347,电力变压器,武侯110kV变电站,0.4138,0.5318,4.6,39.1,53.2,10197.0,0.0032,9.1,,-3,2023-05-08 20:57:00,过热故障
2023-03-01,EQ-0347,电力变压器,武侯110kV变电站,0.4178,0.536,14.5,49.6,66.6,9488.0,0.00514,7.2,,-2,2023-05-08 20:57:00,过热故障
2023-04-01,EQ-0347,电力变压器,武侯110kV变电站,0.4175,0.487,16.1,46.7,61.3,10149.0,0.00258,5.9,,-1,2023-05-08 20:57:00,过热故障
2023-05-01,EQ-0347,电力变压器,武侯110kV变电站,0.494,0.5682,23.5,59.1,71.0,6399.0,0.00363,6.8,,0,2023-05-08 20:57:00,过热故障
2023-02-01,EQ-0075,断路器,南沙110kV变电站,0.4647,0.5426,9.1,,,11730.0,,,0.508,-3,2023-05-19 20:49:00,外力因素
2023-03-01,EQ-0075,断路器,南沙110kV变电站,0.4368,0.5096,21.1,,,12855.0,,,0.47,-2,2023-05-19 20:49:00,外力因素
