设备编号,月平均负荷率异常变化率,月最大负荷率异常变化率
EQ-0001,0.4134753225476142,0.4179662465285196
EQ-0003,0.1496505701224316,0.13840073993105176
EQ-0004,0.2134272300469484,0.22926346256379
EQ-0005,0.027989083096219745,0.030564875672197456
EQ-0006,0.04153763296081889,0.008549277824978703
EQ-0008,0.25090252707581256,0.20475073313783002
EQ-0011,-0.29563194623933853,-0.24257550335570469
EQ-0012,-0.2395852880465377,-0.2465043439352697
EQ-0013,0.15237066054302312,0.1870930609014714
EQ-0014,0.19671509106678253,0.1520999829960892
EQ-0016,0.02534520891864413,0.03854921229927576
EQ-0017,-0.3292752442996743,-0.3627847847178079
EQ-0020,0.13791955617198332,0.2614662168323152
EQ-0021,-0.09235035708150306,-0.10239905222628101
EQ-0022,0.1780492154065623,0.2351208565150312
EQ-0024,-0.040681770358420494,-0.11341510367966572
EQ-0025,-0.17873492297281154,-0.17239044210118992
EQ-0026,-0.1456541535970859,-0.12938243808298472
EQ-0028,-0.026775602653292273,-0.03159561184445231
EQ-0029,0.012382864792503471,0.05505524092470535
EQ-0036,0.45490263067987724,0.4700641482537424
EQ-0037,0.2780006170934897,0.2043928484750426
EQ-0039,0.07919990029910268,0.09679878048780488
EQ-0040,-0.16773754629979593,-0.13386149864276253
EQ-0043,0.1579058475828583,0.15090493030996474
EQ-0044,0.07773696192052985,0.09472127322723088
EQ-0046,0.06850237066064402,0.014515581834924692
EQ-0048,-0.04304620385419095,-0.12051717288453909
EQ-0049,0.013803965165832996,0.017032163742690128
EQ-0050,0.019301914106482243,0.07273793150098075
EQ-0051,-0.17752838775239696,-0.14304031913377976
EQ-0052,-0.03277627397905135,-0.016451406963610457
EQ-0056,0.26714409722222204,0.268265378270092
EQ-0060,-0.1904891748922942,-0.2350780532598716
EQ-0063,0.12959086584205504,0.21027418204056664
EQ-0068,-0.304696089209989,-0.26093941571893625
EQ-0069,-0.07810588852000712,-0.0032924274169410053
EQ-0071,0.04579416726922154,0.02717077859660343
EQ-0072,0.21501672899035637,0.2287529785544085
EQ-0073,0.14896623920439692,0.20279173186197796
EQ-0074,-0.03003776175763829,-9.541984732823377e-05
EQ-0075,0.2795251776803267,0.31588725176169125
EQ-0076,0.36624203821656054,0.35098124727431346
EQ-0078,0.231191579398452,0.18696816035169408
EQ-0079,-0.0651300951647505,0.04127103506627792
EQ-0080,0.021587550794237093,-0.04154704215049801
EQ-0081,-0.2506604438182459,-0.19906522200977259
EQ-0082,0.05081853660184829,0.07125971414597045
EQ-0084,-0.029717157910980903,-0.03474944948708308
EQ-0086,0.18383274467357874,0.2218413099372999
EQ-0089,0.16120247198072693,0.12812931204415534
EQ-0090,0.23059216205328872,0.1939522253417408
EQ-0092,0.05074556689951628,0.05204339668814755
EQ-0093,-0.03231789568345328,-0.10818636215864753
EQ-0094,0.3752095962853088,0.42407892708493916
EQ-0095,0.1670340947964578,0.18360236394107762
EQ-0099,-0.10696710696710707,-0.14625413767479573
EQ-0102,0.309472161966739,0.36102472974974087
EQ-0106,0.11478843736908256,0.03943569911215209
EQ-0107,0.08794634422822592,0.052624990611621604
EQ-0108,0.33793691389599306,0.30846565817908483
EQ-0109,-0.18741377008322574,-0.10988532443025112
EQ-0113,0.5073568610726091,0.3728263582660788
EQ-0117,-0.1029460443561735,-0.049464175006642463
EQ-0118,-0.13038761219055142,-0.11072434292866075
EQ-0119,-0.1302721795138167,-0.19275042860641692
EQ-0120,-0.16374170795196913,-0.14551229004048213
EQ-0121,-0.04517586318167154,-0.10155930067727201
EQ-0124,0.28066223083774294,0.20918689269339175
EQ-0126,-0.17819277108433737,-0.20230689040589167
EQ-0127,-0.06069829901521941,0.013810027908767284
EQ-0128,-0.15454391796720948,-0.22423075239637585
EQ-0129,-0.023562351927633007,-0.07414514145141447
EQ-0130,0.26796838192954003,0.23603780532711402
EQ-0131,-0.31807356443503576,-0.31970751475640913
EQ-0132,0.03242611099298299,-0.0035599399528201095
EQ-0133,0.16997701420404307,0.1059280855199223
EQ-0135,-0.1123287671232876,-0.17880382775119608
EQ-0136,-0.04781742437964153,-0.08231693178129207
EQ-0138,0.032613749584855474,0.013431078767123053
EQ-0139,-0.0681316056607154,-0.00657330665904551
EQ-0142,0.12330226364846901,0.04106847311496873
EQ-0144,-0.28935425924175107,-0.28380802870598776
EQ-0146,-0.1590350681259772,-0.1533567721413024
EQ-0148,-0.1739477182100133,-0.18551224560193164
EQ-0151,-0.18393919754904844,-0.25998897767980156
EQ-0153,-0.004558702638068775,-0.024256373937677326
EQ-0155,-0.10755888541078679,-0.13159525678634887
EQ-0156,-0.1426732855304285,-0.14778999009387242
EQ-0159,0.3826963057732287,0.33825378158076175
EQ-0160,0.34907298104298295,0.37102493074792237
EQ-0161,0.4612834978843439,0.5826718076661375
EQ-0164,0.2646819178940772,0.2132820588670317
EQ-0166,0.0394641564083997,-0.04405614437124025
EQ-0169,0.03788283000746977,0.006443461781427661
EQ-0171,-0.05929721815519747,-0.1270668992718447
EQ-0176,0.27242744063324525,0.25112189205579105
EQ-0177,-0.14929761515844484,-0.11074297644442405
EQ-0179,0.10343145226866156,0.10372771474878456
EQ-0180,0.14327363598500645,0.03463651050080782
EQ-0186,0.14584117733724034,0.12539366369680488
EQ-0187,0.20431787118908815,0.20032426589803634
EQ-0188,0.08481001498721699,0.0013073794305637238
EQ-0189,0.10248793870021751,0.09427044015467789
EQ-0192,0.3096932096305994,0.3739553052325581
EQ-0194,-0.2287695951280026,-0.2959975040114102
EQ-0195,0.2640891729674955,0.26676782382251063
EQ-0196,-0.12442365959689107,-0.17158757149482143
EQ-0198,0.1382249707504596,0.11722770407440612
EQ-0199,0.08013988051872366,0.0437554332077658
EQ-0200,-0.1219641593963688,-0.1033743208464397
EQ-0201,0.09930516812902594,0.0213053079250838
EQ-0202,0.27764357087954317,0.26582389221818803
EQ-0203,0.3591287905315498,0.365909744179362
EQ-0205,0.15182156133828997,0.15802656104380228
EQ-0206,0.06279201109000351,0.023095344400698027
EQ-0208,-0.17554203119056683,-0.2102348077073095
EQ-0209,-0.3246306791786677,-0.3224798124511592
EQ-0210,0.07623205861688243,0.11810325725681384
EQ-0211,0.028022178691191616,0.0462983184101334
EQ-0212,-0.33176761433868984,-0.2672139386831965
EQ-0214,-0.2040699066315536,-0.18912584954300457
EQ-0216,0.07653534416710368,0.07491856677524429
EQ-0217,-0.06204412426834752,-0.09931880352577274
EQ-0219,-0.18137279918346524,-0.19247897080653148
EQ-0220,0.02129481616807503,-0.010055096418732746
EQ-0221,0.24627513711151716,0.24591773167462677
EQ-0223,0.21302190366397686,0.14083660549723545
EQ-0232,0.1749476768522393,0.20799772259155697
EQ-0233,-0.10190374727870678,-0.100705674801529
EQ-0238,0.23821269082978508,0.14786891226363474
EQ-0239,0.07482192264672985,0.12824485709518246
EQ-0240,0.08670921198668151,0.15562667885923298
EQ-0242,-0.1922901112296206,-0.20521462639109694
EQ-0243,-0.1787135075586023,-0.14244058900714407
EQ-0248,0.2509062149871482,0.28503869303525375
EQ-0249,-0.12780473013947868,-0.1303272036263584
EQ-0250,-0.18965253329251494,-0.2152477152477153
EQ-0253,-0.11186825667234523,-0.12095038897332125
EQ-0254,-0.19254673175378023,-0.09553580345550795
EQ-0256,0.2548052389862222,0.21409815284317268
EQ-0260,0.011402575057231553,-0.0109407122096458
EQ-0262,-0.06019721303731702,-0.0917068580167037
EQ-0264,-0.21751398445621511,-0.20126900416134486
EQ-0267,-0.1762586377097728,-0.1275173257236038
EQ-0269,0.031181155736315826,0.06278275320838335
EQ-0270,0.35847304616971887,0.3435387997720057
EQ-0271,0.186804868106912,0.1749673568364111
EQ-0275,0.12124218672487336,0.23065766027102066
EQ-0276,0.014530281283754568,0.02664103268332893
EQ-0277,0.05190926544833971,-0.018855331219756345
EQ-0280,0.018670565740636542,-0.0034518672816545317
EQ-0281,-0.1301583095979333,-0.05760343309859156
EQ-0283,-0.11378151260504216,-0.08622393961179016
EQ-0284,-0.0024508302187365317,-0.05015348054262807
EQ-0286,0.04536537518391358,0.05923054274217312
EQ-0287,0.009174888455979425,0.06489514649744678
EQ-0288,0.12508444044134215,0.13072758484088207
EQ-0290,0.009015958729087285,0.021668189531392684
EQ-0291,-0.1673857532799155,-0.17861675126903567
EQ-0292,-0.07808183379377297,-0.08113831899404357
EQ-0293,0.3692820838627699,0.39076214478143734
EQ-0294,-0.17070544981820399,-0.1607566423781163
EQ-0295,0.1733720447946909,0.141685093719647
EQ-0296,-0.2648854961832061,-0.2664754579232123
EQ-0299,-0.2750348173772405,-0.23294699542300312
EQ-0300,0.12466857854012225,0.1379156637247035
EQ-0301,-0.13778912273390279,-0.1290950211194999
EQ-0302,-0.31527442915898446,-0.3614185592279116
EQ-0303,0.12143470380616232,0.11896083753392768
EQ-0305,0.3754580020739718,0.47144871342967914
EQ-0306,-0.29122427886874,-0.24983164983164985
EQ-0307,-0.29803633694255816,-0.35224704996233996
EQ-0309,0.1827385892116182,0.13977605435487125
EQ-0310,0.17838281891796748,0.12936683796143497
EQ-0312,-0.31114062759422206,-0.2842368412040684
EQ-0316,0.10860383637032649,0.09523024229354292
EQ-0317,0.4498567335243554,0.3697913887851464
EQ-0318,0.12385765715868188,0.16901331883664023
EQ-0320,0.07134371700105602,-0.001185750373769009
EQ-0322,-0.23811320754716983,-0.2853689378161261
EQ-0323,0.24787414965986387,0.1784005468215994
EQ-0325,0.27772879562687347,0.22024250277674928
EQ-0326,0.050280362314375514,0.03927005844845919
EQ-0328,-0.10002737975723276,-0.12079808340196167
EQ-0329,0.38561007957559673,0.43741165384011327
EQ-0330,0.12563002786946798,0.10938532716457358
EQ-0332,-0.19488882863340573,-0.18001704303366003
EQ-0333,-0.05342281879194619,-0.1025089605734767
EQ-0334,0.1928947797273072,0.22845044440717757
EQ-0335,0.1829658306682377,0.07107023411371247
EQ-0336,0.19951594886434149,0.18013225991949372
EQ-0346,0.24975404075896004,0.31092894372237245
EQ-0347,0.18645424705788183,0.09634679701569321
EQ-0349,-0.11604960622793517,-0.12627188117856977
EQ-0351,-0.1569532059128143,-0.18705873225230807
EQ-0352,0.12550125428011621,0.09685837010540495
EQ-0354,0.41229570505511237,0.3814626105200061
EQ-0358,-0.12595226003047236,-0.11213385326924825
EQ-0359,-0.13801644704250485,-0.15931788576165481
EQ-0361,-0.11977249916359986,-0.0225883231436972
EQ-0363,0.17092464549396472,0.13053190004188175
EQ-0364,0.04534666892693671,0.02860687943751287
EQ-0365,-0.3794603033006244,-0.2702596122247782
EQ-0367,0.214460709254609,0.3125757881972513
EQ-0370,-0.11567372802385555,-0.09052474508828662
EQ-0371,0.15498204070772914,0.14593535749265435
EQ-0372,0.053489693487799375,0.03534764787726088
EQ-0373,-0.06951827242524926,-0.05317335431418827
EQ-0374,0.03863894139886573,0.06288896858716042
EQ-0375,0.382492072568488,0.32892582798136255
EQ-0376,-0.18963904993454264,-0.12416269224586042
EQ-0380,-0.10470615780847578,-0.0708025565463662
EQ-0381,0.2521833078238948,0.14126712328767124
EQ-0383,0.16855386606276282,0.1442245051365572
EQ-0384,0.28560270762822154,0.31065783853054263
EQ-0385,-0.2838762660826717,-0.3088380243127807
EQ-0388,0.16911965113109836,0.12026774936903302
EQ-0391,0.2987519500780032,0.22894319263725796
EQ-0392,-0.10611735330836453,-0.03640614562458257
EQ-0393,-0.05328747320671945,-0.014898058778874382
EQ-0396,0.10429662449717253,0.11634421364985179
EQ-0397,0.07423054765105354,0.08262177650429801
EQ-0398,-0.03886983993891028,-0.07049865488086096
EQ-0399,-0.10954589074713027,-0.14432198942311583
EQ-0403,0.13373597929249356,0.0768102918223526
EQ-0404,-0.03408399269628734,-0.05723881248000934
EQ-0409,0.143758115377481,0.1628862761419206
EQ-0410,0.14500433076883862,0.10736589602547668
EQ-0411,-0.08170225385527882,-0.032200286578570325
EQ-0412,0.2929986271818003,0.32695357935920494
EQ-0415,0.21139733135656022,0.21514731471377574
EQ-0417,-0.12786169459523253,-0.11321037636827111
EQ-0420,0.4682694007424428,0.45820139328689047
EQ-0421,0.14880504006026174,0.24676202275030976
EQ-0422,0.0033342752189882354,0.06574219109923536
EQ-0423,-0.2371690719678868,-0.18321109020390924
EQ-0424,-0.005663325087879185,0.03680526092490465
EQ-0425,0.04274664934758202,0.05769230769230783
EQ-0426,-0.17218860202882136,-0.17596929253090113
EQ-0427,0.07277800822052109,0.04814115056754812
EQ-0428,0.06382874497893584,0.054295451874486
EQ-0431,0.28077493002579434,0.2975635044064284
EQ-0434,-0.15965898081767105,-0.19615204129516653
EQ-0435,0.013862197158249738,-0.00552649758215752
EQ-0436,0.06526388409796487,0.023490304709141457
EQ-0437,0.23077686278400628,0.3251223355726965
EQ-0439,0.05323874151758184,0.023599701269604405
