设备编号,故障总次数,90天重复故障次数,首次故障时间,最近故障时间,平均故障间隔天数,重复故障率,设备名称,设备类型,电压等级,所属变电站,所属区域,制造商,投运日期,设计寿命（年）,已运行年限,额定参数,运行状态,严重等级
EQ-0004,2,1,2023-05-21 09:04:00,2023-07-17 13:20:00,57.0,50.0,龙华220kV_电力变压器_04,电力变压器,110kV,龙华220kV变电站,华南,保变电气,2011-05-02,30,15,rated_capacity_mva=218.5; rated_current_a=291.3,正常运行,轻微
EQ-0022,2,1,2025-04-08 05:33:00,2025-07-03 01:44:00,85.0,50.0,龙华220kV_隔离开关_07,隔离开关,220kV,龙华220kV变电站,华南,长征电气,2006-04-09,30,20,rated_current_a=1518.7,正常运行,一般
EQ-0078,2,1,2024-04-28 13:12:00,2024-07-03 03:10:00,65.0,50.0,南沙110kV_隔离开关_03,隔离开关,110kV,南沙110kV变电站,华南,西电集团,2015-10-04,30,11,rated_current_a=1954.0,正常运行,一般
EQ-0093,4,1,2023-01-02 00:19:00,2026-02-21 00:13:00,381.6666666666667,25.0,前海110kV_断路器_04,断路器,220kV,前海110kV变电站,华南,平高电气,2021-01-11,25,5,rated_current_a=3810.9; breaking_capacity_ka=46.5,正常运行,轻微
EQ-0121,4,1,2024-01-29 10:34:00,2026-04-22 11:41:00,271.0,25.0,张江110kV_电容器组_01,电容器组,35kV,张江110kV变电站,华东,思源电气,2009-03-10,20,17,rated_capacity_mvar=21.9,正常运行,严重
EQ-0129,5,1,2023-02-22 14:18:00,2026-01-06 01:04:00,261.75,20.0,临港110kV_电力变压器_01,电力变压器,110kV,临港110kV变电站,华东,保变电气,2019-05-28,30,7,rated_capacity_mva=110.8; rated_current_a=176.1,正常运行,一般
EQ-0176,3,1,2024-06-22 04:59:00,2026-05-09 07:45:00,343.0,33.33333333333333,苏州工业园220kV_避雷器_05,避雷器,110kV,苏州工业园220kV变电站,华东,中国西电,2007-02-09,20,19,rated_voltage_kv=159.9,带病运行,一般
EQ-0189,3,1,2023-07-17 12:01:00,2024-02-19 04:32:00,107.5,33.33333333333333,杭州滨江110kV_断路器_05,断路器,110kV,杭州滨江110kV变电站,华东,西门子,2015-06-13,25,11,rated_current_a=3210.9; breaking_capacity_ka=50.5,正常运行,一般
EQ-0195,2,1,2024-07-26 18:54:00,2024-08-22 18:54:00,27.0,50.0,杭州滨江110kV_电容器组_02,电容器组,10kV,杭州滨江110kV变电站,华东,西门子,2014-04-02,20,12,rated_capacity_mvar=13.9,正常运行,一般
EQ-0210,3,1,2024-08-17 12:55:00,2025-02-23 03:38:00,94.0,33.33333333333333,昆山35kV_电容器组_01,电容器组,35kV,昆山35kV变电站,华东,ABB,2006-10-12,20,20,rated_capacity_mvar=10.8,正常运行,严重
EQ-0211,2,1,2023-12-06 14:12:00,2024-02-10 22:44:00,66.0,50.0,昆山35kV_电容器组_02,电容器组,10kV,昆山35kV变电站,华东,ABB,2006-03-11,20,20,rated_capacity_mvar=28.8,正常运行,轻微
EQ-0221,2,1,2025-07-05 21:05:00,2025-08-31 15:34:00,56.0,50.0,亦庄110kV_断路器_04,断路器,35kV,亦庄110kV变电站,华北,沈阳高开,2011-03-28,25,15,rated_current_a=3515.8; breaking_capacity_ka=33.0,正常运行,一般
EQ-0253,3,1,2023-09-22 09:41:00,2025-12-21 08:25:00,410.0,33.33333333333333,天津滨海220kV_电力变压器_02,电力变压器,110kV,天津滨海220kV变电站,华北,特变电工,2011-11-06,30,15,rated_capacity_mva=62.3; rated_current_a=624.8,正常运行,一般
EQ-0260,3,1,2025-02-16 09:16:00,2025-09-29 08:05:00,112.0,33.33333333333333,天津滨海220kV_断路器_05,断路器,220kV,天津滨海220kV变电站,华北,ABB,2009-12-18,25,17,rated_current_a=2215.8; breaking_capacity_ka=47.8,正常运行,一般
EQ-0271,3,1,2024-12-31 12:36:00,2025-08-01 04:07:00,106.0,33.33333333333333,天津滨海220kV_电容器组_02,电容器组,10kV,天津滨海220kV变电站,华北,ABB,2010-05-26,20,16,rated_capacity_mvar=13.5,正常运行,一般
EQ-0276,4,1,2023-07-25 16:09:00,2026-03-12 00:13:00,319.6666666666667,25.0,天津滨海220kV_避雷器_04,避雷器,220kV,天津滨海220kV变电站,华北,中国西电,2008-07-09,20,18,rated_voltage_kv=101.4,正常运行,轻微
EQ-0280,2,1,2025-04-14 14:39:00,2025-05-14 14:39:00,30.0,50.0,天津滨海220kV_GIS组合电器_02,GIS组合电器,220kV,天津滨海220kV变电站,华北,西电集团,2008-08-01,35,18,rated_current_a=3485.9; sf6_pressure_mpa=0.4,带病运行,严重
EQ-0292,3,1,2024-06-04 00:42:00,2024-10-03 00:48:00,60.0,33.33333333333333,石家庄高新35kV_避雷器_01,避雷器,35kV,石家庄高新35kV变电站,华北,ABB,2007-10-18,20,19,rated_voltage_kv=192.4,正常运行,轻微
EQ-0294,4,1,2023-09-30 01:27:00,2025-10-08 05:50:00,246.0,25.0,石家庄高新35kV_避雷器_03,避雷器,35kV,石家庄高新35kV变电站,华北,西门子,2009-05-26,20,17,rated_voltage_kv=135.1,正常运行,一般
EQ-0300,3,1,2025-12-15 14:40:00,2026-05-31 00:33:00,83.0,33.33333333333333,武昌110kV_断路器_03,断路器,35kV,武昌110kV变电站,华中,平高电气,2010-05-22,25,16,rated_current_a=3407.2; breaking_capacity_ka=38.5,备用,一般
EQ-0301,4,2,2023-01-27 14:31:00,2024-02-05 11:56:00,124.33333333333333,50.0,武昌110kV_断路器_04,断路器,110kV,武昌110kV变电站,华中,平高电气,2010-08-06,25,16,rated_current_a=2037.4; breaking_capacity_ka=44.2,正常运行,一般
EQ-0326,3,1,2023-06-08 03:32:00,2025-10-21 19:04:00,433.0,33.33333333333333,江夏35kV_避雷器_03,避雷器,35kV,江夏35kV变电站,华中,ABB,2011-09-09,20,15,rated_voltage_kv=72.4,正常运行,一般
EQ-0328,2,1,2025-10-17 21:44:00,2025-12-04 00:23:00,47.0,50.0,长沙星沙110kV_电力变压器_02,电力变压器,110kV,长沙星沙110kV变电站,华中,西电集团,2018-08-27,30,8,rated_capacity_mva=47.7; rated_current_a=196.2,正常运行,严重
EQ-0330,3,1,2024-04-18 19:08:00,2026-05-05 03:33:00,373.0,33.33333333333333,长沙星沙110kV_断路器_01,断路器,35kV,长沙星沙110kV变电站,华中,西门子,2016-03-14,25,10,rated_current_a=3658.1; breaking_capacity_ka=40.2,备用,严重
EQ-0346,3,1,2025-07-13 02:35:00,2026-02-11 12:13:00,106.5,33.33333333333333,武侯110kV_电力变压器_01,电力变压器,110kV,武侯110kV变电站,西南,特变电工,2013-09-18,30,13,rated_capacity_mva=85.6; rated_current_a=433.7,正常运行,严重
EQ-0351,2,1,2024-02-03 19:06:00,2024-03-04 16:55:00,29.0,50.0,武侯110kV_断路器_03,断路器,35kV,武侯110kV变电站,西南,ABB,2018-08-02,25,8,rated_current_a=2064.3; breaking_capacity_ka=40.1,正常运行,一般
EQ-0352,3,1,2024-08-18 10:28:00,2025-05-27 23:33:00,141.0,33.33333333333333,武侯110kV_断路器_04,断路器,110kV,武侯110kV变电站,西南,西门子,2017-12-14,25,9,rated_current_a=2980.7; breaking_capacity_ka=40.4,正常运行,一般
EQ-0372,4,2,2024-02-27 18:37:00,2025-03-23 14:51:00,129.33333333333334,50.0,重庆两江220kV_断路器_04,断路器,35kV,重庆两江220kV变电站,西南,河南森源,2010-01-24,25,16,rated_current_a=3167.1; breaking_capacity_ka=59.9,正常运行,严重
EQ-0373,2,1,2024-03-16 09:18:00,2024-05-01 09:18:00,46.0,50.0,重庆两江220kV_断路器_05,断路器,220kV,重庆两江220kV变电站,西南,河南森源,2014-12-26,25,12,rated_current_a=2410.1; breaking_capacity_ka=56.0,正常运行,一般
EQ-0393,3,1,2024-01-16 13:24:00,2025-10-27 13:04:00,324.5,33.33333333333333,重庆两江220kV_GIS组合电器_02,GIS组合电器,220kV,重庆两江220kV变电站,西南,ABB,2009-12-05,35,17,rated_current_a=2495.8; sf6_pressure_mpa=0.5,正常运行,一般
EQ-0397,3,1,2023-11-12 22:53:00,2024-08-31 21:13:00,145.5,33.33333333333333,成都高新35kV_断路器_01,断路器,35kV,成都高新35kV变电站,西南,沈阳高开,2016-12-26,25,10,rated_current_a=3678.3; breaking_capacity_ka=47.1,正常运行,一般
