设备编号,故障总次数,90天重复故障次数,首次故障时间,最近故障时间,平均故障间隔天数,重复故障率
EQ-0004,2,1,2023-05-21 09:04:00,2023-07-17 13:20:00,57.0,50.0
EQ-0022,2,1,2025-04-08 05:33:00,2025-07-03 01:44:00,85.0,50.0
EQ-0078,2,1,2024-04-28 13:12:00,2024-07-03 03:10:00,65.0,50.0
EQ-0093,4,1,2023-01-02 00:19:00,2026-02-21 00:13:00,381.6666666666667,25.0
EQ-0121,4,1,2024-01-29 10:34:00,2026-04-22 11:41:00,271.0,25.0
EQ-0129,5,1,2023-02-22 14:18:00,2026-01-06 01:04:00,261.75,20.0
EQ-0176,3,1,2024-06-22 04:59:00,2026-05-09 07:45:00,343.0,33.33333333333333
EQ-0189,3,1,2023-07-17 12:01:00,2024-02-19 04:32:00,107.5,33.33333333333333
EQ-0195,2,1,2024-07-26 18:54:00,2024-08-22 18:54:00,27.0,50.0
EQ-0210,3,1,2024-08-17 12:55:00,2025-02-23 03:38:00,94.0,33.33333333333333
EQ-0211,2,1,2023-12-06 14:12:00,2024-02-10 22:44:00,66.0,50.0
EQ-0221,2,1,2025-07-05 21:05:00,2025-08-31 15:34:00,56.0,50.0
EQ-0253,3,1,2023-09-22 09:41:00,2025-12-21 08:25:00,410.0,33.33333333333333
EQ-0260,3,1,2025-02-16 09:16:00,2025-09-29 08:05:00,112.0,33.33333333333333
EQ-0271,3,1,2024-12-31 12:36:00,2025-08-01 04:07:00,106.0,33.33333333333333
EQ-0276,4,1,2023-07-25 16:09:00,2026-03-12 00:13:00,319.6666666666667,25.0
EQ-0280,2,1,2025-04-14 14:39:00,2025-05-14 14:39:00,30.0,50.0
EQ-0292,3,1,2024-06-04 00:42:00,2024-10-03 00:48:00,60.0,33.33333333333333
EQ-0294,4,1,2023-09-30 01:27:00,2025-10-08 05:50:00,246.0,25.0
EQ-0300,3,1,2025-12-15 14:40:00,2026-05-31 00:33:00,83.0,33.33333333333333
EQ-0301,4,2,2023-01-27 14:31:00,2024-02-05 11:56:00,124.33333333333333,50.0
EQ-0326,3,1,2023-06-08 03:32:00,2025-10-21 19:04:00,433.0,33.33333333333333
EQ-0328,2,1,2025-10-17 21:44:00,2025-12-04 00:23:00,47.0,50.0
EQ-0330,3,1,2024-04-18 19:08:00,2026-05-05 03:33:00,373.0,33.33333333333333
EQ-0346,3,1,2025-07-13 02:35:00,2026-02-11 12:13:00,106.5,33.33333333333333
EQ-0351,2,1,2024-02-03 19:06:00,2024-03-04 16:55:00,29.0,50.0
EQ-0352,3,1,2024-08-18 10:28:00,2025-05-27 23:33:00,141.0,33.33333333333333
EQ-0372,4,2,2024-02-27 18:37:00,2025-03-23 14:51:00,129.33333333333334,50.0
EQ-0373,2,1,2024-03-16 09:18:00,2024-05-01 09:18:00,46.0,50.0
EQ-0393,3,1,2024-01-16 13:24:00,2025-10-27 13:04:00,324.5,33.33333333333333
EQ-0397,3,1,2023-11-12 22:53:00,2024-08-31 21:13:00,145.5,33.33333333333333
EQ-0398,3,1,2023-09-06 00:02:00,2025-11-08 00:10:00,396.5,33.33333333333333
EQ-0404,3,1,2023-04-17 01:35:00,2025-01-11 00:26:00,317.0,33.33333333333333
EQ-0415,4,2,2023-06-27 02:25:00,2025-06-02 22:51:00,235.33333333333334,50.0
EQ-0420,2,1,2024-07-01 01:27:00,2024-07-28 01:27:00,27.0,50.0
EQ-0424,2,1,2023-03-21 16:22:00,2023-04-02 11:42:00,11.0,50.0
