设备编号,故障次数,累计修复时间,MTTR(h),MTBF(h),设备可用率,设备名称,设备类型,电压等级,所属变电站,所属区域,制造商,投运日期,设计寿命（年）,已运行年限,额定参数,运行状态
EQ-0001,1,5.7,5.7,29514.3,0.9998069105691056,龙华220kV_电力变压器_01,电力变压器,220kV,龙华220kV变电站,华南,西电集团,2011-10-09,30,15,rated_capacity_mva=47.0; rated_current_a=586.4,检修停运
EQ-0003,1,6.9,6.9,29513.1,0.9997662601626016,龙华220kV_电力变压器_03,电力变压器,220kV,龙华220kV变电站,华南,西电集团,2006-07-13,30,20,rated_capacity_mva=102.9; rated_current_a=461.6,正常运行
EQ-0004,2,7.800000000000001,3.9000000000000004,14756.1,0.9997357723577236,龙华220kV_电力变压器_04,电力变压器,110kV,龙华220kV变电站,华南,保变电气,2011-05-02,30,15,rated_capacity_mva=218.5; rated_current_a=291.3,正常运行
EQ-0005,1,8.7,8.7,29511.3,0.9997052845528455,龙华220kV_电力变压器_05,电力变压器,220kV,龙华220kV变电站,华南,特变电工,2007-02-10,30,19,rated_capacity_mva=167.7; rated_current_a=251.9,正常运行
EQ-0006,1,2.8,2.8,29517.2,0.9999051490514905,龙华220kV_断路器_01,断路器,35kV,龙华220kV变电站,华南,沈阳高开,2007-02-01,25,19,rated_current_a=2215.4; breaking_capacity_ka=38.9,正常运行
EQ-0008,2,11.0,5.5,14754.5,0.9996273712737127,龙华220kV_断路器_03,断路器,220kV,龙华220kV变电站,华南,西门子,2006-06-11,25,20,rated_current_a=3073.2; breaking_capacity_ka=38.8,正常运行
EQ-0011,1,2.9,2.9,29517.1,0.9999017615176151,龙华220kV_断路器_06,断路器,220kV,龙华220kV变电站,华南,沈阳高开,2013-02-15,25,13,rated_current_a=1776.5; breaking_capacity_ka=44.0,正常运行
EQ-0012,1,48.0,48.0,29472.0,0.9983739837398374,龙华220kV_断路器_07,断路器,220kV,龙华220kV变电站,华南,沈阳高开,2013-02-09,25,13,rated_current_a=1292.7; breaking_capacity_ka=42.5,正常运行
EQ-0013,1,3.2,3.2,29516.8,0.9998915989159891,龙华220kV_断路器_08,断路器,220kV,龙华220kV变电站,华南,沈阳高开,2006-01-27,25,20,rated_current_a=3754.0; breaking_capacity_ka=43.8,正常运行
EQ-0014,1,2.7,2.7,29517.3,0.9999085365853658,龙华220kV_断路器_09,断路器,220kV,龙华220kV变电站,华南,平高电气,2013-05-07,25,13,rated_current_a=1802.7; breaking_capacity_ka=60.3,正常运行
EQ-0016,2,5.8,2.9,14757.1,0.9998035230352303,龙华220kV_隔离开关_01,隔离开关,220kV,龙华220kV变电站,华南,新东北电气,2009-06-03,30,17,rated_current_a=2843.2,正常运行
EQ-0017,1,21.3,21.3,29498.7,0.9992784552845528,龙华220kV_隔离开关_02,隔离开关,110kV,龙华220kV变电站,华南,西电集团,2007-12-20,30,19,rated_current_a=1336.1,正常运行
EQ-0020,1,6.3,6.3,29513.7,0.9997865853658536,龙华220kV_隔离开关_05,隔离开关,220kV,龙华220kV变电站,华南,长征电气,2010-08-13,30,16,rated_current_a=1919.2,正常运行
EQ-0021,2,10.2,5.1,14754.9,0.9996544715447154,龙华220kV_隔离开关_06,隔离开关,110kV,龙华220kV变电站,华南,西电集团,2006-12-22,30,20,rated_current_a=1771.0,正常运行
EQ-0022,2,32.2,16.1,14743.9,0.998909214092141,龙华220kV_隔离开关_07,隔离开关,220kV,龙华220kV变电站,华南,长征电气,2006-04-09,30,20,rated_current_a=1518.7,正常运行
EQ-0024,1,10.2,10.2,29509.8,0.9996544715447154,龙华220kV_电容器组_01,电容器组,35kV,龙华220kV变电站,华南,思源电气,2010-11-22,20,16,rated_capacity_mvar=34.3,正常运行
EQ-0025,1,7.1,7.1,29512.9,0.999759485094851,龙华220kV_电容器组_02,电容器组,10kV,龙华220kV变电站,华南,思源电气,2009-02-01,20,17,rated_capacity_mvar=17.1,正常运行
EQ-0026,1,4.5,4.5,29515.5,0.9998475609756098,龙华220kV_电容器组_03,电容器组,35kV,龙华220kV变电站,华南,九州电气,2012-07-08,20,14,rated_capacity_mvar=8.9,带病运行
EQ-0028,2,9.1,4.55,14755.45,0.9996917344173443,龙华220kV_避雷器_02,避雷器,220kV,龙华220kV变电站,华南,浙江金利华,2008-05-11,20,18,rated_voltage_kv=206.2,带病运行
EQ-0029,1,15.1,15.1,29504.9,0.9994884823848239,龙华220kV_避雷器_03,避雷器,35kV,龙华220kV变电站,华南,西门子,2010-12-14,20,16,rated_voltage_kv=219.5,带病运行
EQ-0036,1,5.9,5.9,29514.1,0.9998001355013549,龙华220kV_GIS组合电器_02,GIS组合电器,220kV,龙华220kV变电站,华南,西门子,2011-02-26,35,15,rated_current_a=2393.8; sf6_pressure_mpa=0.5,正常运行
EQ-0037,1,5.4,5.4,29514.6,0.9998170731707317,龙华220kV_GIS组合电器_03,GIS组合电器,220kV,龙华220kV变电站,华南,ABB,2008-12-11,35,18,rated_current_a=2266.0; sf6_pressure_mpa=0.6,正常运行
EQ-0038,1,20.9,20.9,29499.1,0.9992920054200541,龙华220kV_GIS组合电器_04,GIS组合电器,220kV,龙华220kV变电站,华南,新东北电气,2008-08-06,35,18,rated_current_a=2710.6; sf6_pressure_mpa=0.6,正常运行
EQ-0039,1,28.4,28.4,29491.6,0.9990379403794037,松山湖220kV_电力变压器_01,电力变压器,220kV,松山湖220kV变电站,华南,特变电工,2017-10-06,30,9,rated_capacity_mva=221.2; rated_current_a=411.5,正常运行
EQ-0040,1,1.6,1.6,29518.4,0.9999457994579947,松山湖220kV_电力变压器_02,电力变压器,220kV,松山湖220kV变电站,华南,ABB,2010-04-19,30,16,rated_capacity_mva=87.8; rated_current_a=416.4,正常运行
EQ-0043,2,22.8,11.4,14748.6,0.9992276422764228,松山湖220kV_断路器_01,断路器,220kV,松山湖220kV变电站,华南,河南森源,2017-01-09,25,9,rated_current_a=2957.0; breaking_capacity_ka=60.2,带病运行
EQ-0044,2,9.5,4.75,14755.25,0.9996781842818429,松山湖220kV_断路器_02,断路器,220kV,松山湖220kV变电站,华南,西门子,2010-02-03,25,16,rated_current_a=2829.3; breaking_capacity_ka=62.3,正常运行
EQ-0046,3,18.9,6.3,9833.699999999999,0.9993597560975609,松山湖220kV_断路器_04,断路器,220kV,松山湖220kV变电站,华南,西门子,2017-08-14,25,9,rated_current_a=1747.3; breaking_capacity_ka=38.2,正常运行
EQ-0048,2,15.4,7.7,14752.3,0.9994783197831978,松山湖220kV_断路器_06,断路器,220kV,松山湖220kV变电站,华南,河南森源,2013-01-10,25,13,rated_current_a=3972.0; breaking_capacity_ka=50.2,正常运行
EQ-0049,2,20.1,10.05,14749.95,0.999319105691057,松山湖220kV_断路器_07,断路器,220kV,松山湖220kV变电站,华南,沈阳高开,2017-07-12,25,9,rated_current_a=3323.0; breaking_capacity_ka=34.2,正常运行
