故障月份,故障次数,平均修复时间
2023-01,10,17.6
2023-02,8,17.6625
2023-03,8,10.175
2023-04,6,19.883333333333333
2023-05,12,14.466666666666667
2023-06,10,12.87
2023-07,11,13.754545454545456
2023-08,14,14.007142857142856
2023-09,10,13.180000000000001
2023-10,11,27.763636363636362
2023-11,6,9.033333333333333
2023-12,10,9.3
2024-01,11,19.527272727272727
2024-02,12,9.116666666666667
2024-03,6,6.583333333333333
2024-04,7,15.242857142857142
2024-05,9,17.955555555555556
2024-06,8,9.5375
2024-07,19,17.373684210526317
2024-08,14,8.971428571428572
2024-09,7,11.057142857142855
2024-10,8,11.4125
2024-11,11,18.38181818181818
2024-12,7,18.27142857142857
2025-01,7,13.514285714285714
2025-02,9,13.0
2025-03,11,15.045454545454545
2025-04,5,27.9
2025-05,7,25.885714285714283
2025-06,13,12.107692307692307
2025-07,14,9.207142857142857
2025-08,22,8.304545454545455
2025-09,9,14.711111111111112
2025-10,11,12.645454545454545
2025-11,7,10.714285714285714
2025-12,9,13.711111111111112
2026-01,9,5.1
2026-02,6,29.316666666666666
2026-03,4,6.05
2026-04,7,11.514285714285714
2026-05,5,8.68
