设备编号,故障次数,累计修复时间,MTTR(h),MTBF(h),设备可用率,设备名称,设备类型,电压等级,所属变电站,所属区域,制造商,投运日期,设计寿命（年）,已运行年限,额定参数,运行状态,设备年龄分组
EQ-0316,6,101.3,16.883333333333333,4903.116666666667,0.9965684281842818,江夏35kV_断路器_01,断路器,220kV,江夏35kV变电站,华中,西门子,2009-02-03,25,17,rated_current_a=3293.7; breaking_capacity_ka=40.0,检修停运,10-20年
EQ-0129,5,54.900000000000006,10.98,5893.0199999999995,0.9981402439024389,临港110kV_电力变压器_01,电力变压器,110kV,临港110kV变电站,华东,保变电气,2019-05-28,30,7,rated_capacity_mva=110.8; rated_current_a=176.1,正常运行,5-10年
EQ-0121,4,139.6,34.9,7345.1,0.9952710027100271,张江110kV_电容器组_01,电容器组,35kV,张江110kV变电站,华东,思源电气,2009-03-10,20,17,rated_capacity_mvar=21.9,正常运行,10-20年
EQ-0372,4,111.39999999999999,27.849999999999998,7352.15,0.9962262872628725,重庆两江220kV_断路器_04,断路器,35kV,重庆两江220kV变电站,西南,河南森源,2010-01-24,25,16,rated_current_a=3167.1; breaking_capacity_ka=59.9,正常运行,10-20年
EQ-0276,4,88.7,22.175,7357.825,0.9969952574525744,天津滨海220kV_避雷器_04,避雷器,220kV,天津滨海220kV变电站,华北,中国西电,2008-07-09,20,18,rated_voltage_kv=101.4,正常运行,10-20年
EQ-0093,4,77.7,19.425,7360.575,0.9973678861788617,前海110kV_断路器_04,断路器,220kV,前海110kV变电站,华南,平高电气,2021-01-11,25,5,rated_current_a=3810.9; breaking_capacity_ka=46.5,正常运行,0-5年
EQ-0301,4,77.0,19.25,7360.75,0.9973915989159892,武昌110kV_断路器_04,断路器,110kV,武昌110kV变电站,华中,平高电气,2010-08-06,25,16,rated_current_a=2037.4; breaking_capacity_ka=44.2,正常运行,10-20年
EQ-0415,4,70.3,17.575,7362.425,0.9976185636856368,沈阳浑南110kV_断路器_05,断路器,35kV,沈阳浑南110kV变电站,东北,西门子,2011-03-05,25,15,rated_current_a=2035.7; breaking_capacity_ka=33.7,检修停运,10-20年
EQ-0294,4,59.4,14.85,7365.15,0.9979878048780487,石家庄高新35kV_避雷器_03,避雷器,35kV,石家庄高新35kV变电站,华北,西门子,2009-05-26,20,17,rated_voltage_kv=135.1,正常运行,10-20年
EQ-0089,4,34.1,8.525,7371.475,0.9988448509485095,前海110kV_电力变压器_03,电力变压器,35kV,前海110kV变电站,华南,保变电气,2020-01-25,30,6,rated_capacity_mva=117.6; rated_current_a=394.6,正常运行,5-10年
