设备编号,三次前评分,两次前评分,最近评分
EQ-0004,97.9,84.7,82.9
EQ-0005,92.7,89.9,83.7
EQ-0006,85.8,83.9,77.0
EQ-0007,96.2,87.4,77.3
EQ-0012,90.0,86.3,78.3
EQ-0013,89.9,85.9,78.4
EQ-0016,100.0,86.5,81.8
EQ-0017,90.1,85.9,73.2
EQ-0028,88.9,84.8,84.1
EQ-0034,93.3,90.5,89.5
EQ-0050,93.6,90.0,77.1
EQ-0057,93.4,91.4,79.0
EQ-0063,92.6,81.6,79.4
EQ-0067,88.6,88.3,82.7
EQ-0077,89.4,89.0,87.1
EQ-0082,93.3,89.5,79.9
EQ-0092,93.7,90.5,89.5
EQ-0108,89.4,85.4,84.6
EQ-0110,94.0,82.7,75.6
EQ-0119,83.5,83.3,80.2
EQ-0122,91.6,91.2,83.2
EQ-0123,86.8,84.9,80.2
EQ-0124,92.4,79.9,74.4
EQ-0127,82.0,80.8,69.5
EQ-0132,95.2,91.3,89.3
EQ-0136,100.0,94.1,77.6
EQ-0144,89.3,86.2,83.4
EQ-0149,91.0,81.2,77.4
EQ-0151,99.1,82.2,70.3
EQ-0159,93.4,82.1,75.2
EQ-0166,89.9,89.6,82.1
EQ-0176,94.6,84.0,78.3
EQ-0182,91.5,87.2,81.9
EQ-0186,93.2,86.7,78.0
EQ-0204,86.1,74.6,73.1
EQ-0209,87.5,82.3,80.0
EQ-0211,85.3,84.8,81.7
EQ-0213,90.3,85.1,81.8
EQ-0216,98.0,84.5,75.1
EQ-0222,98.1,95.7,85.8
EQ-0223,95.7,90.4,87.5
EQ-0225,89.0,84.2,73.5
EQ-0230,89.9,85.5,80.3
EQ-0231,90.0,89.1,82.0
EQ-0232,98.1,89.9,81.5
EQ-0234,99.0,92.3,69.3
EQ-0247,98.1,98.0,92.6
EQ-0250,89.8,77.9,77.4
EQ-0253,91.0,84.5,83.7
EQ-0256,89.2,75.5,73.2
EQ-0280,90.8,90.5,77.7
EQ-0283,94.8,81.6,65.6
EQ-0289,90.3,88.9,78.9
EQ-0292,96.1,88.0,81.7
EQ-0293,92.8,88.8,84.3
EQ-0294,87.8,84.0,68.1
EQ-0296,95.5,87.3,80.5
EQ-0299,88.9,85.3,82.3
EQ-0306,87.1,81.6,75.2
EQ-0310,86.6,84.8,80.1
EQ-0313,95.7,89.6,83.3
EQ-0314,82.9,77.6,75.3
EQ-0315,98.3,87.8,86.6
EQ-0323,95.3,91.4,88.8
EQ-0348,96.5,90.8,79.5
EQ-0350,98.6,86.4,83.2
EQ-0357,89.7,87.7,80.9
EQ-0365,95.0,93.3,81.4
EQ-0369,88.0,85.1,75.7
EQ-0370,91.9,74.1,73.0
EQ-0381,96.9,93.2,87.8
EQ-0385,86.7,82.0,80.7
EQ-0387,90.4,83.7,81.6
EQ-0393,88.4,88.1,88.0
EQ-0399,92.6,90.8,68.7
EQ-0402,93.8,92.2,81.1
EQ-0409,90.0,89.6,88.3
EQ-0413,84.4,81.6,78.7
EQ-0419,91.0,90.4,76.5
EQ-0427,86.0,83.3,79.9
EQ-0433,78.0,72.9,71.1
