设备编号,缺陷发现日期,90天内是否故障
EQ-0166,2023-01-01,0
EQ-0168,2023-01-01,0
EQ-0126,2023-01-01,0
EQ-0261,2023-01-01,0
EQ-0432,2023-01-01,0
EQ-0114,2023-01-01,0
EQ-0241,2023-01-01,0
EQ-0010,2023-01-01,0
EQ-0030,2023-01-01,0
EQ-0179,2023-01-01,0
EQ-0104,2023-01-01,0
EQ-0399,2023-01-01,1
EQ-0279,2023-01-01,0
EQ-0281,2023-01-01,0
EQ-0411,2023-01-01,0
EQ-0218,2023-01-01,0
EQ-0070,2023-01-01,0
EQ-0151,2023-01-01,0
EQ-0096,2023-01-01,0
EQ-0438,2023-01-02,0
EQ-0256,2023-01-02,0
EQ-0395,2023-01-02,0
EQ-0048,2023-01-02,1
EQ-0371,2023-01-02,0
EQ-0163,2023-01-02,0
EQ-0326,2023-01-02,0
EQ-0124,2023-01-02,0
EQ-0040,2023-01-02,0
EQ-0073,2023-01-02,0
EQ-0278,2023-01-02,0
EQ-0103,2023-01-02,0
EQ-0010,2023-01-02,0
EQ-0098,2023-01-02,0
EQ-0259,2023-01-02,0
EQ-0057,2023-01-02,0
EQ-0231,2023-01-03,0
EQ-0390,2023-01-03,0
EQ-0338,2023-01-03,0
EQ-0387,2023-01-03,0
EQ-0307,2023-01-03,0
EQ-0379,2023-01-03,0
EQ-0055,2023-01-03,0
EQ-0033,2023-01-03,0
EQ-0054,2023-01-03,0
EQ-0348,2023-01-03,0
EQ-0083,2023-01-03,0
EQ-0121,2023-01-03,0
EQ-0422,2023-01-03,0
EQ-0186,2023-01-03,0
EQ-0107,2023-01-03,0
EQ-0090,2023-01-03,0
EQ-0268,2023-01-03,0
EQ-0353,2023-01-03,0
EQ-0173,2023-01-03,0
EQ-0267,2023-01-03,0
EQ-0140,2023-01-04,0
EQ-0022,2023-01-04,0
EQ-0372,2023-01-04,0
EQ-0230,2023-01-04,0
EQ-0327,2023-01-04,0
EQ-0402,2023-01-04,0
EQ-0071,2023-01-04,0
EQ-0377,2023-01-04,0
EQ-0008,2023-01-04,1
EQ-0383,2023-01-04,0
EQ-0398,2023-01-04,0
EQ-0337,2023-01-04,0
EQ-0167,2023-01-04,0
EQ-0343,2023-01-04,0
EQ-0192,2023-01-04,0
EQ-0252,2023-01-04,0
EQ-0412,2023-01-04,0
EQ-0392,2023-01-04,0
EQ-0003,2023-01-04,0
EQ-0045,2023-01-05,0
EQ-0378,2023-01-05,0
EQ-0016,2023-01-05,0
EQ-0308,2023-01-05,0
EQ-0279,2023-01-05,0
EQ-0330,2023-01-05,0
EQ-0093,2023-01-05,0
EQ-0100,2023-01-05,0
EQ-0284,2023-01-05,0
EQ-0137,2023-01-05,0
EQ-0033,2023-01-05,0
EQ-0193,2023-01-05,0
EQ-0004,2023-01-05,0
EQ-0316,2023-01-05,0
EQ-0144,2023-01-05,0
EQ-0305,2023-01-05,0
EQ-0424,2023-01-05,1
EQ-0293,2023-01-05,0
EQ-0317,2023-01-05,0
EQ-0064,2023-01-05,0
EQ-0038,2023-01-05,0
EQ-0380,2023-01-05,0
EQ-0068,2023-01-06,0
EQ-0203,2023-01-06,0
EQ-0158,2023-01-06,0
EQ-0178,2023-01-06,0
EQ-0164,2023-01-06,0
EQ-0433,2023-01-06,0
EQ-0371,2023-01-06,0
EQ-0076,2023-01-06,0
EQ-0311,2023-01-06,0
EQ-0044,2023-01-06,0
EQ-0254,2023-01-06,0
EQ-0210,2023-01-06,0
EQ-0266,2023-01-06,0
EQ-0439,2023-01-06,0
EQ-0271,2023-01-06,0
EQ-0049,2023-01-06,0
EQ-0031,2023-01-06,0
EQ-0263,2023-01-06,0
EQ-0142,2023-01-06,0
EQ-0320,2023-01-06,0
