设备编号,平均评分,最低评分,最高评分,巡检次数,设备类型,所属变电站
EQ-0001,87.46075949367088,70.8,100.0,79,电力变压器,龙华220kV变电站
EQ-0002,87.97999999999999,78.2,100.0,80,电力变压器,龙华220kV变电站
EQ-0003,83.2975,66.6,100.0,80,电力变压器,龙华220kV变电站
EQ-0004,85.78,67.6,99.3,40,电力变压器,龙华220kV变电站
EQ-0005,84.33875,67.9,97.8,80,电力变压器,龙华220kV变电站
EQ-0006,84.08684210526316,64.2,98.0,38,断路器,龙华220kV变电站
EQ-0007,86.75128205128206,72.7,100.0,78,断路器,龙华220kV变电站
EQ-0008,83.73076923076923,69.5,100.0,78,断路器,龙华220kV变电站
EQ-0009,85.33461538461539,69.1,100.0,78,断路器,龙华220kV变电站
EQ-0010,85.3075,65.8,99.9,80,断路器,龙华220kV变电站
EQ-0011,86.32278481012658,70.6,98.0,79,断路器,龙华220kV变电站
EQ-0012,86.77051282051282,68.5,100.0,78,断路器,龙华220kV变电站
EQ-0013,84.12125,68.4,99.7,80,断路器,龙华220kV变电站
EQ-0014,87.48589743589743,73.5,100.0,78,断路器,龙华220kV变电站
EQ-0015,84.81358024691357,67.0,100.0,81,断路器,龙华220kV变电站
EQ-0016,85.61410256410257,70.2,100.0,78,隔离开关,龙华220kV变电站
EQ-0017,84.87948717948719,73.2,100.0,39,隔离开关,龙华220kV变电站
EQ-0018,85.5,72.4,98.3,38,隔离开关,龙华220kV变电站
EQ-0019,84.58250000000001,64.2,98.0,40,隔离开关,龙华220kV变电站
EQ-0020,84.74249999999999,71.1,100.0,80,隔离开关,龙华220kV变电站
EQ-0021,83.88378378378378,73.9,100.0,37,隔离开关,龙华220kV变电站
EQ-0022,85.26666666666667,68.0,99.4,81,隔离开关,龙华220kV变电站
EQ-0023,84.66410256410256,70.1,100.0,78,隔离开关,龙华220kV变电站
EQ-0024,86.34324324324324,75.5,100.0,37,电容器组,龙华220kV变电站
EQ-0025,86.85121951219513,68.8,100.0,41,电容器组,龙华220kV变电站
EQ-0026,86.75675675675676,77.5,100.0,37,电容器组,龙华220kV变电站
EQ-0027,86.11645569620254,73.1,100.0,79,避雷器,龙华220kV变电站
EQ-0028,84.00617283950618,65.6,96.0,81,避雷器,龙华220kV变电站
EQ-0029,86.14358974358974,69.1,100.0,39,避雷器,龙华220kV变电站
EQ-0030,86.845,74.8,94.9,40,避雷器,龙华220kV变电站
EQ-0031,87.01875,70.9,100.0,80,避雷器,龙华220kV变电站
EQ-0032,85.19,68.8,98.9,40,避雷器,龙华220kV变电站
EQ-0033,88.39367088607595,74.8,100.0,79,避雷器,龙华220kV变电站
EQ-0034,86.22162162162162,67.4,100.0,37,避雷器,龙华220kV变电站
EQ-0035,88.95675675675676,72.2,100.0,37,GIS组合电器,龙华220kV变电站
EQ-0036,86.53086419753086,72.0,100.0,81,GIS组合电器,龙华220kV变电站
EQ-0037,84.72820512820513,72.1,100.0,78,GIS组合电器,龙华220kV变电站
EQ-0038,84.1888888888889,67.5,99.1,81,GIS组合电器,龙华220kV变电站
EQ-0039,86.50750000000001,71.1,100.0,80,电力变压器,松山湖220kV变电站
EQ-0040,86.42727272727272,70.1,100.0,77,电力变压器,松山湖220kV变电站
EQ-0041,85.22368421052632,66.2,96.1,38,电力变压器,松山湖220kV变电站
EQ-0042,86.72179487179487,75.4,98.9,78,电力变压器,松山湖220kV变电站
EQ-0043,89.07530864197531,75.8,100.0,81,断路器,松山湖220kV变电站
EQ-0044,86.72098765432098,64.6,100.0,81,断路器,松山湖220kV变电站
EQ-0045,87.14177215189873,67.4,100.0,79,断路器,松山湖220kV变电站
EQ-0046,86.97142857142858,72.8,99.2,77,断路器,松山湖220kV变电站
EQ-0047,86.05432098765432,70.3,100.0,81,断路器,松山湖220kV变电站
EQ-0048,87.32962962962962,70.6,100.0,81,断路器,松山湖220kV变电站
EQ-0049,86.52125,70.1,100.0,80,断路器,松山湖220kV变电站
EQ-0050,87.75125,76.9,100.0,80,断路器,松山湖220kV变电站
EQ-0051,86.76582278481013,72.1,100.0,79,隔离开关,松山湖220kV变电站
EQ-0052,88.20740740740742,75.8,100.0,81,隔离开关,松山湖220kV变电站
EQ-0053,86.66913580246913,70.3,100.0,81,隔离开关,松山湖220kV变电站
EQ-0054,87.04146341463414,77.8,100.0,41,隔离开关,松山湖220kV变电站
EQ-0055,87.28607594936709,69.3,100.0,79,隔离开关,松山湖220kV变电站
EQ-0056,88.1225,73.5,99.3,80,隔离开关,松山湖220kV变电站
EQ-0057,87.05405405405405,69.4,100.0,37,电容器组,松山湖220kV变电站
EQ-0058,84.985,73.0,100.0,40,电容器组,松山湖220kV变电站
EQ-0059,86.9625,71.8,99.7,40,避雷器,松山湖220kV变电站
EQ-0060,87.56463414634146,74.1,100.0,82,避雷器,松山湖220kV变电站
EQ-0061,87.34320987654321,67.4,100.0,81,避雷器,松山湖220kV变电站
EQ-0062,86.60864197530864,73.0,100.0,81,避雷器,松山湖220kV变电站
EQ-0063,88.16296296296296,72.9,99.9,81,避雷器,松山湖220kV变电站
EQ-0064,87.12875,69.2,100.0,80,避雷器,松山湖220kV变电站
EQ-0065,86.76962025316456,67.1,96.5,79,GIS组合电器,松山湖220kV变电站
EQ-0066,86.60249999999999,70.9,100.0,80,GIS组合电器,松山湖220kV变电站
EQ-0067,87.78780487804879,67.1,100.0,82,GIS组合电器,松山湖220kV变电站
EQ-0068,88.05499999999999,78.3,100.0,40,电力变压器,南沙110kV变电站
EQ-0069,87.57848101265823,69.5,100.0,79,电力变压器,南沙110kV变电站
EQ-0070,85.72749999999999,71.1,100.0,40,电力变压器,南沙110kV变电站
EQ-0071,87.39500000000001,74.6,94.9,40,断路器,南沙110kV变电站
EQ-0072,87.115,65.8,98.1,40,断路器,南沙110kV变电站
EQ-0073,86.3948717948718,75.3,98.6,39,断路器,南沙110kV变电站
EQ-0074,85.9219512195122,70.0,100.0,41,断路器,南沙110kV变电站
EQ-0075,87.25121951219512,77.0,100.0,41,断路器,南沙110kV变电站
EQ-0076,87.29743589743589,72.1,100.0,39,隔离开关,南沙110kV变电站
EQ-0077,86.26,67.7,96.7,40,隔离开关,南沙110kV变电站
EQ-0078,89.45,72.5,100.0,38,隔离开关,南沙110kV变电站
EQ-0079,88.6225,74.3,100.0,40,隔离开关,南沙110kV变电站
EQ-0080,88.81052631578947,76.6,100.0,38,电容器组,南沙110kV变电站
EQ-0081,87.20270270270271,74.4,98.2,37,电容器组,南沙110kV变电站
EQ-0082,87.06153846153846,73.5,98.1,39,避雷器,南沙110kV变电站
EQ-0083,86.0875,74.9,99.1,40,避雷器,南沙110kV变电站
EQ-0084,86.73513513513514,70.3,96.5,37,避雷器,南沙110kV变电站
EQ-0085,86.38378378378378,73.7,100.0,37,避雷器,南沙110kV变电站
EQ-0086,89.39756097560976,78.8,100.0,41,GIS组合电器,南沙110kV变电站
EQ-0087,86.33250000000001,71.1,100.0,40,电力变压器,前海110kV变电站
EQ-0088,86.3425,69.9,99.9,80,电力变压器,前海110kV变电站
EQ-0089,88.41111111111111,78.3,98.9,36,电力变压器,前海110kV变电站
EQ-0090,86.2125,72.5,100.0,40,断路器,前海110kV变电站
EQ-0091,87.1923076923077,77.3,95.0,39,断路器,前海110kV变电站
EQ-0092,87.8475,70.4,100.0,40,断路器,前海110kV变电站
EQ-0093,87.05,68.8,100.0,80,断路器,前海110kV变电站
EQ-0094,85.78947368421052,72.8,99.6,38,断路器,前海110kV变电站
EQ-0095,88.19268292682926,75.2,99.9,41,隔离开关,前海110kV变电站
EQ-0096,86.3625,73.5,100.0,40,隔离开关,前海110kV变电站
EQ-0097,87.285,73.4,100.0,40,隔离开关,前海110kV变电站
EQ-0098,87.43846153846154,72.3,100.0,39,隔离开关,前海110kV变电站
EQ-0099,86.39736842105263,72.5,94.2,38,电容器组,前海110kV变电站
EQ-0100,87.9219512195122,73.4,100.0,41,电容器组,前海110kV变电站
EQ-0101,87.36052631578947,77.6,97.5,38,避雷器,前海110kV变电站
EQ-0102,88.54102564102564,73.1,98.7,39,避雷器,前海110kV变电站
EQ-0103,86.295,77.0,97.8,40,避雷器,前海110kV变电站
EQ-0104,87.11578947368422,76.8,97.1,38,避雷器,前海110kV变电站
EQ-0105,85.61025641025641,72.3,100.0,39,GIS组合电器,前海110kV变电站
EQ-0106,87.43589743589743,75.4,97.8,39,GIS组合电器,前海110kV变电站
EQ-0107,86.27000000000001,66.0,100.0,40,电力变压器,张江110kV变电站
EQ-0108,87.25641025641026,78.1,100.0,39,电力变压器,张江110kV变电站
EQ-0109,86.03142857142856,72.1,96.8,35,电力变压器,张江110kV变电站
EQ-0110,86.12025316455696,71.4,100.0,79,断路器,张江110kV变电站
EQ-0111,87.67894736842106,73.4,97.3,38,断路器,张江110kV变电站
EQ-0112,86.03684210526316,75.7,100.0,38,断路器,张江110kV变电站
EQ-0113,87.9325,76.8,100.0,40,断路器,张江110kV变电站
EQ-0114,86.12,76.0,100.0,40,断路器,张江110kV变电站
EQ-0115,84.8425,72.6,97.6,40,断路器,张江110kV变电站
EQ-0116,85.25,67.9,100.0,38,隔离开关,张江110kV变电站
EQ-0117,88.09024390243901,73.6,100.0,41,隔离开关,张江110kV变电站
EQ-0118,86.28947368421052,70.2,99.2,38,隔离开关,张江110kV变电站
EQ-0119,86.7,73.3,100.0,38,隔离开关,张江110kV变电站
EQ-0120,87.95897435897436,73.9,98.5,39,隔离开关,张江110kV变电站
EQ-0121,88.23658536585366,70.3,99.6,41,电容器组,张江110kV变电站
EQ-0122,86.41749999999999,70.8,100.0,40,电容器组,张江110kV变电站
EQ-0123,84.39736842105263,71.6,97.9,38,避雷器,张江110kV变电站
EQ-0124,86.0219512195122,74.4,100.0,41,避雷器,张江110kV变电站
EQ-0125,86.07000000000001,75.6,99.7,40,避雷器,张江110kV变电站
EQ-0126,86.45256410256411,71.4,100.0,78,避雷器,张江110kV变电站
EQ-0127,86.505,68.4,100.0,40,GIS组合电器,张江110kV变电站
EQ-0128,85.49012345679012,69.8,98.3,81,GIS组合电器,张江110kV变电站
EQ-0129,88.61714285714285,77.9,99.0,35,电力变压器,临港110kV变电站
EQ-0130,87.46000000000001,75.6,99.8,40,电力变压器,临港110kV变电站
EQ-0131,85.03947368421052,67.4,95.7,38,电力变压器,临港110kV变电站
EQ-0132,89.07000000000001,79.8,100.0,40,断路器,临港110kV变电站
EQ-0133,87.15405405405404,71.6,100.0,37,断路器,临港110kV变电站
EQ-0134,87.84556962025317,75.0,100.0,79,断路器,临港110kV变电站
EQ-0135,86.8170731707317,72.4,98.5,41,断路器,临港110kV变电站
EQ-0136,89.0325,72.2,100.0,40,断路器,临港110kV变电站
EQ-0137,87.5875,70.6,99.6,40,隔离开关,临港110kV变电站
EQ-0138,88.21351351351352,79.2,100.0,37,隔离开关,临港110kV变电站
EQ-0139,86.975,70.8,98.7,40,隔离开关,临港110kV变电站
EQ-0140,86.42894736842106,74.6,99.4,38,隔离开关,临港110kV变电站
EQ-0141,85.6,69.4,96.9,36,电容器组,临港110kV变电站
EQ-0142,85.135,74.7,96.8,40,电容器组,临港110kV变电站
EQ-0143,86.22999999999999,73.4,95.9,40,避雷器,临港110kV变电站
EQ-0144,86.24691358024691,65.5,100.0,81,避雷器,临港110kV变电站
EQ-0145,86.89,74.9,99.8,40,避雷器,临港110kV变电站
EQ-0146,86.06829268292684,73.3,100.0,41,避雷器,临港110kV变电站
EQ-0147,88.2439024390244,73.0,100.0,41,GIS组合电器,临港110kV变电站
EQ-0148,86.21234567901234,68.1,100.0,81,电力变压器,苏州工业园220kV变电站
EQ-0149,85.61578947368422,69.9,99.1,38,电力变压器,苏州工业园220kV变电站
EQ-0150,86.06455696202532,69.7,100.0,79,电力变压器,苏州工业园220kV变电站
EQ-0151,85.15802469135802,70.3,100.0,81,电力变压器,苏州工业园220kV变电站
EQ-0152,86.62658227848101,74.0,100.0,79,电力变压器,苏州工业园220kV变电站
EQ-0153,84.27250000000001,71.2,96.2,80,断路器,苏州工业园220kV变电站
EQ-0154,87.58987341772152,69.0,100.0,79,断路器,苏州工业园220kV变电站
EQ-0155,85.22592592592594,62.5,100.0,81,断路器,苏州工业园220kV变电站
EQ-0156,86.5670731707317,68.1,100.0,82,断路器,苏州工业园220kV变电站
EQ-0157,86.03827160493827,72.0,100.0,81,断路器,苏州工业园220kV变电站
EQ-0158,86.14500000000001,71.1,100.0,80,断路器,苏州工业园220kV变电站
EQ-0159,86.88875,62.5,100.0,80,断路器,苏州工业园220kV变电站
EQ-0160,84.7375,66.3,95.4,40,断路器,苏州工业园220kV变电站
EQ-0161,86.12439024390244,69.5,100.0,41,断路器,苏州工业园220kV变电站
EQ-0162,87.54197530864197,76.9,100.0,81,隔离开关,苏州工业园220kV变电站
EQ-0163,84.19753086419753,68.5,100.0,81,隔离开关,苏州工业园220kV变电站
EQ-0164,85.89506172839506,68.8,99.4,81,隔离开关,苏州工业园220kV变电站
EQ-0165,84.8246913580247,69.7,100.0,81,隔离开关,苏州工业园220kV变电站
EQ-0166,87.03,74.4,100.0,80,隔离开关,苏州工业园220kV变电站
EQ-0167,86.015,71.2,98.3,40,隔离开关,苏州工业园220kV变电站
EQ-0168,85.47368421052632,67.1,97.2,38,隔离开关,苏州工业园220kV变电站
EQ-0169,83.52250000000001,70.5,98.8,40,电容器组,苏州工业园220kV变电站
EQ-0170,86.7175,69.5,99.7,40,电容器组,苏州工业园220kV变电站
EQ-0171,86.82564102564102,71.5,100.0,39,电容器组,苏州工业园220kV变电站
EQ-0172,85.28170731707317,72.6,99.5,82,避雷器,苏州工业园220kV变电站
EQ-0173,86.45432098765433,73.2,100.0,81,避雷器,苏州工业园220kV变电站
EQ-0174,85.38250000000001,67.8,99.6,80,避雷器,苏州工业园220kV变电站
EQ-0175,87.06075949367089,69.2,100.0,79,避雷器,苏州工业园220kV变电站
EQ-0176,85.35000000000001,77.7,94.6,38,避雷器,苏州工业园220kV变电站
EQ-0177,85.86835443037975,67.7,97.1,79,避雷器,苏州工业园220kV变电站
EQ-0178,87.82151898734176,68.8,100.0,79,避雷器,苏州工业园220kV变电站
EQ-0179,85.14430379746835,71.4,98.4,79,GIS组合电器,苏州工业园220kV变电站
EQ-0180,86.71000000000001,71.7,100.0,40,GIS组合电器,苏州工业园220kV变电站
EQ-0181,86.20370370370371,70.6,99.6,81,GIS组合电器,苏州工业园220kV变电站
EQ-0182,85.31,70.1,100.0,40,电力变压器,杭州滨江110kV变电站
EQ-0183,87.30263157894737,74.5,99.2,38,电力变压器,杭州滨江110kV变电站
EQ-0184,86.1076923076923,73.3,96.4,39,电力变压器,杭州滨江110kV变电站
EQ-0185,88.74102564102564,70.3,100.0,39,断路器,杭州滨江110kV变电站
EQ-0186,87.21538461538462,75.5,100.0,39,断路器,杭州滨江110kV变电站
EQ-0187,86.6263157894737,75.4,99.6,38,断路器,杭州滨江110kV变电站
EQ-0188,86.0525,76.1,97.4,40,断路器,杭州滨江110kV变电站
EQ-0189,87.04615384615386,71.0,100.0,39,断路器,杭州滨江110kV变电站
EQ-0190,88.31,74.3,100.0,40,隔离开关,杭州滨江110kV变电站
EQ-0191,85.59625,66.2,100.0,80,隔离开关,杭州滨江110kV变电站
EQ-0192,85.53,66.9,96.7,40,隔离开关,杭州滨江110kV变电站
EQ-0193,87.14,73.0,100.0,40,隔离开关,杭州滨江110kV变电站
EQ-0194,88.24871794871794,73.6,100.0,39,电容器组,杭州滨江110kV变电站
EQ-0195,87.39999999999999,69.1,98.5,34,电容器组,杭州滨江110kV变电站
EQ-0196,85.53157894736842,72.9,98.7,38,避雷器,杭州滨江110kV变电站
EQ-0197,88.77560975609757,75.4,100.0,41,避雷器,杭州滨江110kV变电站
EQ-0198,86.42432432432432,74.2,100.0,37,避雷器,杭州滨江110kV变电站
EQ-0199,87.87105263157895,72.8,100.0,38,避雷器,杭州滨江110kV变电站
EQ-0200,87.65128205128205,73.8,100.0,39,GIS组合电器,杭州滨江110kV变电站
EQ-0201,82.51124999999999,62.5,96.4,80,电力变压器,昆山35kV变电站
EQ-0202,84.38,72.1,93.8,40,电力变压器,昆山35kV变电站
EQ-0203,83.27682926829269,62.0,99.4,82,断路器,昆山35kV变电站
EQ-0204,85.22162162162162,71.3,98.9,37,断路器,昆山35kV变电站
EQ-0205,83.34210526315789,73.1,95.7,38,断路器,昆山35kV变电站
EQ-0206,84.01891891891891,66.7,97.3,37,断路器,昆山35kV变电站
EQ-0207,86.08250000000001,69.2,100.0,40,隔离开关,昆山35kV变电站
EQ-0208,84.61025641025641,68.7,98.6,39,隔离开关,昆山35kV变电站
EQ-0209,85.02307692307693,72.4,99.1,39,隔离开关,昆山35kV变电站
EQ-0210,84.54722222222222,68.4,96.5,36,电容器组,昆山35kV变电站
EQ-0211,85.275,72.4,96.0,40,电容器组,昆山35kV变电站
EQ-0212,84.27250000000001,68.9,99.0,40,避雷器,昆山35kV变电站
EQ-0213,87.035,74.3,99.5,40,避雷器,昆山35kV变电站
EQ-0214,82.97948717948718,62.2,98.0,78,避雷器,昆山35kV变电站
EQ-0215,84.56216216216217,70.2,96.1,37,电力变压器,亦庄110kV变电站
EQ-0216,87.43076923076923,74.7,100.0,39,电力变压器,亦庄110kV变电站
EQ-0217,85.17435897435898,74.1,93.8,39,电力变压器,亦庄110kV变电站
EQ-0218,87.51,76.0,100.0,40,断路器,亦庄110kV变电站
