月份,巡检次数
2023-01,567
2023-02,564
2023-03,560
2023-04,566
2023-05,561
2023-06,555
2023-07,552
2023-08,561
2023-09,556
2023-10,560
2023-11,557
2023-12,562
2024-01,551
2024-02,568
2024-03,561
2024-04,561
2024-05,559
2024-06,553
2024-07,558
2024-08,559
2024-09,570
2024-10,549
2024-11,560
2024-12,555
2025-01,559
2025-02,560
2025-03,556
2025-04,556
2025-05,568
2025-06,550
2025-07,564
2025-08,564
2025-09,562
2025-10,557
2025-11,563
2025-12,566
2026-01,568
2026-02,563
2026-03,562
2026-04,560
2026-05,560
