所属变电站,设备总数,已巡检设备数,巡检覆盖率(%)
临港110kV变电站,19,19,100.0
亦庄110kV变电站,23,23,100.0
前海110kV变电站,20,20,100.0
南沙110kV变电站,19,19,100.0
大连开发区35kV变电站,13,13,100.0
天津滨海220kV变电站,30,30,100.0
张江110kV变电站,22,22,100.0
成都高新35kV变电站,13,13,100.0
昆山35kV变电站,14,14,100.0
杭州滨江110kV变电站,19,19,100.0
松山湖220kV变电站,29,29,100.0
武侯110kV变电站,19,19,100.0
武昌110kV变电站,19,19,100.0
江夏35kV变电站,13,13,100.0
沈阳浑南110kV变电站,19,19,100.0
石家庄高新35kV变电站,13,13,100.0
苏州工业园220kV变电站,34,34,100.0
通州35kV变电站,14,14,100.0
重庆两江220kV变电站,30,30,100.0
长沙星沙110kV变电站,19,19,100.0
龙华220kV变电站,38,38,100.0
