设备编号,检修日期,设备类型,所属变电站,检修前_月平均负荷率,检修后_月平均负荷率,月平均负荷率_变化率(%),检修前_月最大负荷率,检修后_月最大负荷率,月最大负荷率_变化率(%),检修前_油温（℃）,检修后_油温（℃）,油温（℃）_变化率(%),检修前_绕组温度（℃）,检修后_绕组温度（℃）,绕组温度（℃）_变化率(%),检修前_绝缘电阻（MΩ）,检修后_绝缘电阻（MΩ）,绝缘电阻（MΩ）_变化率(%),检修前_介质损耗角tanδ,检修后_介质损耗角tanδ,介质损耗角tanδ_变化率(%),检修前_局部放电量（pC）,检修后_局部放电量（pC）,局部放电量（pC）_变化率(%),检修前_SF6气体压力（MPa）,检修后_SF6气体压力（MPa）,SF6气体压力（MPa）_变化率(%)
EQ-0098,2023-01-02 00:00:00,隔离开关,前海110kV变电站,0.55,0.46,-16.5,0.636,0.56,-11.89,,,,,,,,,,,,,,,,,,
EQ-0038,2023-01-02 19:12:00,GIS组合电器,龙华220kV变电站,0.578,0.475,-17.94,0.751,0.603,-19.66,53.1,54.333,2.32,71.4,69.9,-2.1,10040.0,8981.0,-10.55,,,,3.4,13.467,296.08,0.487,0.471,-3.29
EQ-0396,2023-01-04 00:00:00,电力变压器,成都高新35kV变电站,0.526,0.438,-16.79,0.622,0.524,-15.67,43.0,45.767,6.43,59.5,60.267,1.29,9283.0,11011.333,18.62,0.004,0.004,-5.57,13.5,6.967,-48.4,,,
EQ-0181,2023-01-08 00:00:00,GIS组合电器,苏州工业园220kV变电站,0.549,0.455,-17.15,0.689,0.532,-22.73,43.3,49.6,14.55,59.2,63.933,8.0,9537.0,9747.0,2.2,,,,5.2,5.133,-1.28,0.519,0.522,0.58
EQ-0439,2023-01-12 00:00:00,避雷器,大连开发区35kV变电站,0.504,0.448,-11.1,0.653,0.584,-10.48,,,,,,,,,,,,,,,,,,
EQ-0032,2023-01-12 00:00:00,避雷器,龙华220kV变电站,0.454,0.401,-11.72,0.585,0.5,-14.48,,,,,,,,,,,,,,,,,,
EQ-0261,2023-01-13 00:00:00,断路器,天津滨海220kV变电站,0.656,0.554,-15.61,0.762,0.685,-10.07,,,,,,,7503.0,7921.667,5.58,,,,,,,0.481,0.49,1.94
EQ-0024,2023-01-13 00:00:00,电容器组,龙华220kV变电站,0.456,0.447,-2.02,0.614,0.558,-9.2,,,,,,,,,,0.005,0.004,-14.95,,,,,,
EQ-0141,2023-01-14 00:00:00,电容器组,临港110kV变电站,0.566,0.489,-13.62,0.702,0.591,-15.93,,,,,,,,,,0.005,0.003,-44.15,,,,,,
EQ-0062,2023-01-15 00:00:00,避雷器,松山湖220kV变电站,0.509,0.438,-13.96,0.631,0.574,-9.08,,,,,,,,,,,,,,,,,,
EQ-0154,2023-01-15 11:32:00,断路器,苏州工业园220kV变电站,0.586,0.452,-22.96,0.68,0.557,-18.03,,,,,,,10093.0,8596.667,-14.83,,,,,,,0.529,0.455,-13.99
EQ-0424,2023-01-17 00:00:00,避雷器,沈阳浑南110kV变电站,0.493,0.446,-9.46,0.612,0.562,-8.21,,,,,,,,,,,,,,,,,,
EQ-0402,2023-02-09 00:00:00,隔离开关,成都高新35kV变电站,0.59,0.513,-13.11,0.764,0.614,-19.61,,,,,,,,,,,,,,,,,,
EQ-0200,2023-02-20 00:00:00,GIS组合电器,杭州滨江110kV变电站,0.457,0.409,-10.48,0.6,0.506,-15.76,40.6,54.8,34.98,53.05,69.133,30.32,8811.5,8344.333,-5.3,,,,11.35,7.667,-32.45,0.479,0.501,4.59
EQ-0263,2023-01-26 00:00:00,断路器,天津滨海220kV变电站,0.6,0.541,-9.81,0.762,0.695,-8.86,,,,,,,9894.0,10631.333,7.45,,,,,,,0.464,0.506,9.12
EQ-0371,2023-01-26 00:00:00,断路器,重庆两江220kV变电站,0.554,0.444,-19.72,0.7,0.582,-16.94,,,,,,,10154.0,9473.0,-6.71,,,,,,,0.465,0.488,5.02
EQ-0324,2023-01-26 00:00:00,避雷器,江夏35kV变电站,0.595,0.559,-6.09,0.761,0.707,-7.11,,,,,,,,,,,,,,,,,,
EQ-0243,2023-01-26 00:00:00,断路器,通州35kV变电站,0.507,0.42,-17.11,0.637,0.538,-15.49,,,,,,,11697.0,8456.333,-27.71,,,,,,,0.458,0.463,1.09
EQ-0359,2023-02-15 00:00:00,电容器组,武侯110kV变电站,0.474,0.436,-8.14,0.585,0.56,-4.38,,,,,,,,,,0.004,0.003,-27.39,,,,,,
EQ-0072,2023-01-29 13:34:00,断路器,南沙110kV变电站,0.609,0.498,-18.23,0.74,0.622,-15.96,,,,,,,10230.0,9612.0,-6.04,,,,,,,0.44,0.478,8.71
EQ-0238,2023-02-01 00:00:00,电力变压器,通州35kV变电站,0.519,0.481,-7.31,0.6,0.628,4.71,45.6,51.033,11.92,66.9,66.333,-0.85,7165.0,6820.667,-4.81,0.006,0.005,-10.21,6.2,10.5,69.35,,,
