月份,故障抢修成本
2023-01-01,59.2
2023-02-01,31.400000000000002
2023-03-01,27.95
2023-04-01,32.35
2023-05-01,44.849999999999994
2023-06-01,31.400000000000002
2023-07-01,62.68
2023-08-01,48.99
2023-09-01,38.49
2023-10-01,69.27
2023-11-01,12.370000000000001
2023-12-01,29.549999999999997
2024-01-01,43.510000000000005
2024-02-01,41.8
2024-03-01,12.879999999999999
2024-04-01,27.25
2024-05-01,66.97
2024-06-01,21.87
2024-07-01,90.07
2024-08-01,29.669999999999998
2024-09-01,25.939999999999998
2024-10-01,20.97
2024-11-01,63.08
2024-12-01,40.22
2025-01-01,18.689999999999998
2025-02-01,30.72
2025-03-01,32.39
2025-04-01,27.29
2025-05-01,67.28999999999999
2025-06-01,55.58
2025-07-01,44.03
2025-08-01,56.39
2025-09-01,49.25
2025-10-01,41.25
2025-11-01,27.689999999999998
2025-12-01,26.2
2026-01-01,19.73
2026-02-01,77.59
2026-03-01,7.529999999999999
2026-04-01,21.43
2026-05-01,9.16
