月份,计划检修成本
2023-01-01,74.49
2023-02-01,70.27
2023-03-01,18883.3
2023-04-01,2625.93
2023-05-01,153.21
2023-06-01,1031.8
2023-07-01,166.11
2023-08-01,33.85
2023-09-01,52.19
2023-10-01,68.29
2023-11-01,18.09
2023-12-01,51.12
2024-01-01,73.33
2024-02-01,73.39
2024-03-01,44.160000000000004
2024-04-01,703.3
2024-05-01,113.33
2024-06-01,1127.91
2024-07-01,221.31
2024-08-01,111.78
2024-09-01,5767.87
2024-10-01,857.41
2024-11-01,57.519999999999996
2024-12-01,73.47
2025-01-01,57.07
2025-02-01,79.59
2025-03-01,41.47
2025-04-01,693.83
2025-05-01,213.81
2025-06-01,1091.22
2025-07-01,167.85
2025-08-01,77.53
2025-09-01,67.69
2025-10-01,51.71
2025-11-01,29.41
2025-12-01,34.69
2026-01-01,35.739999999999995
2026-02-01,55.56
2026-03-01,36.32
2026-04-01,714.93
2026-05-01,103.7
2026-06-01,5.9399999999999995
