月份,故障抢修成本,计划检修成本,备件消耗成本,总成本
2023-01-01,59.2,74.49,188.8335,322.5235
2023-02-01,31.400000000000002,70.27,137.398,239.06799999999998
2023-03-01,27.95,18883.3,129.2595,19040.5095
2023-04-01,32.35,2625.93,150.564,2808.8439999999996
2023-05-01,44.849999999999994,153.21,149.4765,347.5365
2023-06-01,31.400000000000002,1031.8,139.802,1203.002
2023-07-01,62.68,166.11,231.034,459.824
2023-08-01,48.99,33.85,231.392,314.23199999999997
2023-09-01,38.49,52.19,163.994,254.674
2023-10-01,69.27,68.29,157.0715,294.63149999999996
2023-11-01,12.370000000000001,18.09,111.709,142.169
2023-12-01,29.549999999999997,51.12,184.0435,264.71349999999995
2024-01-01,43.510000000000005,73.33,165.9495,282.7895
2024-02-01,41.8,73.39,115.97,231.16
2024-03-01,12.879999999999999,44.160000000000004,127.6365,184.6765
2024-04-01,27.25,703.3,155.0845,885.6344999999999
2024-05-01,66.97,113.33,137.66,317.96000000000004
2024-06-01,21.87,1127.91,154.7295,1304.5095
2024-07-01,90.07,221.31,211.522,522.902
2024-08-01,29.669999999999998,111.78,225.914,367.364
2024-09-01,25.939999999999998,5767.87,145.308,5939.1179999999995
2024-10-01,20.97,857.41,134.176,1012.556
2024-11-01,63.08,57.519999999999996,128.936,249.536
2024-12-01,40.22,73.47,157.049,270.73900000000003
2025-01-01,18.689999999999998,57.07,177.4595,253.21949999999998
2025-02-01,30.72,79.59,116.60249999999999,226.9125
2025-03-01,32.39,41.47,139.673,213.53300000000002
2025-04-01,27.29,693.83,129.4485,850.5685
2025-05-01,67.28999999999999,213.81,154.2645,435.3645
2025-06-01,55.58,1091.22,136.7935,1283.5935
2025-07-01,44.03,167.85,209.586,421.466
2025-08-01,56.39,77.53,206.9605,340.8805
2025-09-01,49.25,67.69,146.4115,263.3515
2025-10-01,41.25,51.71,129.791,222.751
2025-11-01,27.689999999999998,29.41,118.67,175.76999999999998
2025-12-01,26.2,34.69,186.236,247.12599999999998
2026-01-01,19.73,35.739999999999995,143.584,199.054
2026-02-01,77.59,55.56,121.086,254.236
2026-03-01,7.529999999999999,36.32,117.0635,160.9135
2026-04-01,21.43,714.93,159.436,895.7959999999999
2026-05-01,9.16,103.7,154.927,267.787
2026-06-01,0.0,5.9399999999999995,0.0,5.9399999999999995
