月份,备件消耗成本
2023-01-01,188.8335
2023-02-01,137.398
2023-03-01,129.2595
2023-04-01,150.564
2023-05-01,149.4765
2023-06-01,139.802
2023-07-01,231.034
2023-08-01,231.392
2023-09-01,163.994
2023-10-01,157.0715
2023-11-01,111.709
2023-12-01,184.0435
2024-01-01,165.9495
2024-02-01,115.97
2024-03-01,127.6365
2024-04-01,155.0845
2024-05-01,137.66
2024-06-01,154.7295
2024-07-01,211.522
2024-08-01,225.914
2024-09-01,145.308
2024-10-01,134.176
2024-11-01,128.936
2024-12-01,157.049
2025-01-01,177.4595
2025-02-01,116.60249999999999
2025-03-01,139.673
2025-04-01,129.4485
2025-05-01,154.2645
2025-06-01,136.7935
2025-07-01,209.586
2025-08-01,206.9605
2025-09-01,146.4115
2025-10-01,129.791
2025-11-01,118.67
2025-12-01,186.236
2026-01-01,143.584
2026-02-01,121.086
2026-03-01,117.0635
2026-04-01,159.436
2026-05-01,154.927
