所属变电站,故障抢修成本,计划检修成本,变电站运维成本
龙华220kV变电站,55.45,3128.98,3184.43
苏州工业园220kV变电站,127.63000000000001,2810.24,2937.87
天津滨海220kV变电站,192.52,2431.05,2623.57
重庆两江220kV变电站,129.61,2428.84,2558.4500000000003
松山湖220kV变电站,53.93,2300.22,2354.1499999999996
张江110kV变电站,52.03,1933.89,1985.92
亦庄110kV变电站,35.339999999999996,1920.34,1955.6799999999998
南沙110kV变电站,79.62,1724.08,1803.6999999999998
武侯110kV变电站,109.57,1629.51,1739.08
武昌110kV变电站,93.78,1628.93,1722.71
前海110kV变电站,76.61,1588.64,1665.25
沈阳浑南110kV变电站,125.76,1496.32,1622.08
长沙星沙110kV变电站,24.48,1490.19,1514.67
杭州滨江110kV变电站,75.01,1413.31,1488.32
临港110kV变电站,64.22,1353.56,1417.78
昆山35kV变电站,34.1,1218.95,1253.05
成都高新35kV变电站,64.19,1184.34,1248.53
大连开发区35kV变电站,44.83,1182.68,1227.51
通州35kV变电站,38.769999999999996,1094.4,1133.17
江夏35kV变电站,41.52,1039.49,1081.01
石家庄高新35kV变电站,65.97,1013.53,1079.5
