备件名称,规格型号,消耗金额（万元）,累计金额,累计占比(%),ABC类别
灭弧室触头,铜钨合金触指,1369.76,1369.76,21.461164428295444,A类
触指弹簧,铜合金触指,373.76,1743.52,27.31717191626392,A类
阀片,氧化锌阀片,360.18,2103.7,32.960410296552034,A类
SF6气体,高纯SF6,341.775,2445.475,38.31528229783743,A类
绝缘子,棒形支柱绝缘子,300.6,2746.075,43.025031470791525,A类
密封件套装,氟橡胶O型圈,297.054,3043.129,47.67922252475928,A类
套管,110kV电容式套管,286.45,3329.5789999999997,52.16727192792862,A类
有载分接开关,M型有载调压,258.0,3587.5789999999997,56.20957161729042,A类
变压器油,45#变压器油,238.95,3826.5289999999995,59.95339917842609,A类
电容器单元,BAM型并联电容器,200.94,4027.4689999999996,63.101692587652295,A类
辅助触头,微动开关组件,199.298,4226.767,66.22425942288652,A类
操作机构组件,弹簧操动机构,191.4,4418.1669999999995,69.22308175057586,A类
冷却风扇,轴流风机YFLA,180.96,4599.1269999999995,72.05833195130032,A类
绝缘件,环氧树脂绝缘件,161.6,4760.727,74.59025299704012,A类
密封垫,耐油橡胶垫圈,159.292,4920.019,77.0860126951712,A类
操作机构弹簧,合闸弹簧组,155.736,5075.755,79.52605759603341,A类
熔断器,喷射式熔断器,154.11,5229.865,81.94062660815568,B类
瓷套,复合外套,146.75,5376.615,84.23988040433338,B类
SF6气体,电子级SF6,144.765,5521.38,86.50803356142819,B类
密封垫组,全氟橡胶密封套装,138.38,5659.76,88.67614763512543,B类
传感器,微水/SF6密度传感器,121.8,5781.56,90.5844891163823,B类
轴承,自润滑轴承,121.215,5902.775000000001,92.48366491811095,B类
计数器,放电计数器,105.868,6008.643000000001,94.14238655963558,B类
绝缘套管,环氧树脂套管,95.615,6104.258000000001,95.6404659580787,C类
密封件,硅橡胶密封圈,92.892,6197.150000000001,97.09588186018799,C类
操作杆,不锈钢操作杆,80.08,6277.2300000000005,98.35056154671548,C类
放电电阻,瓷外壳放电电阻,73.188,6350.418000000001,99.49725856092097,C类
温度计,双金属温度计,32.0875,6382.5055,100.00000000000003,C类
