备件名称,规格型号,年度消耗量,平均库存量,当前库存,安全库存,消耗金额（万元）,库存周转率
SF6气体,电子级SF6,321.7,3.0548780487804876,4.2,2,144.765,105.31
SF6气体,高纯SF6,976.5,9.408536585365853,0.0,2,341.775,103.79
传感器,微水/SF6密度传感器,81.2,1.7609756097560976,0.0,1,121.8,46.11
冷却风扇,轴流风机YFLA,278.4,1.6609756097560975,0.0,1,180.96,167.61
变压器油,45#变压器油,159.3,1.3621951219512196,0.0,1,238.95,116.94
套管,110kV电容式套管,33.7,1.8475609756097562,0.0,1,286.45,18.24
密封件,硅橡胶密封圈,774.1,5.581707317073171,0.0,2,92.892,138.69
密封件套装,氟橡胶O型圈,1650.3,15.12560975609756,0.0,3,297.054,109.11
密封垫,耐油橡胶垫圈,568.9,3.6085365853658535,0.0,2,159.292,157.65
密封垫组,全氟橡胶密封套装,162.8,2.351219512195122,0.0,2,138.38,69.24
操作机构弹簧,合闸弹簧组,370.8,2.524390243902439,0.0,1,155.736,146.89
操作机构组件,弹簧操动机构,34.8,1.6829268292682926,2.2,1,191.4,20.68
操作杆,不锈钢操作杆,145.6,0.8317073170731708,0.0,1,80.08,175.06
放电电阻,瓷外壳放电电阻,192.6,1.4682926829268292,0.0,1,73.188,131.17
有载分接开关,M型有载调压,21.5,1.4182926829268292,1.5,1,258.0,15.16
温度计,双金属温度计,377.5,2.069512195121951,0.0,2,32.0875,182.41
灭弧室触头,铜钨合金触指,489.2,4.441463414634146,0.0,1,1369.76,110.14
熔断器,喷射式熔断器,700.5,4.40609756097561,0.0,3,154.11,158.98
瓷套,复合外套,58.7,1.1256097560975609,0.4,1,146.75,52.15
电容器单元,BAM型并联电容器,236.4,2.1219512195121952,3.8,2,200.94,111.41
绝缘件,环氧树脂绝缘件,50.5,1.923170731707317,1.5,1,161.6,26.26
绝缘套管,环氧树脂套管,147.1,1.2841463414634147,2.9,1,95.615,114.55
绝缘子,棒形支柱绝缘子,250.5,1.4451219512195121,3.0,1,300.6,173.34
触指弹簧,铜合金触指,1168.0,10.170731707317072,0.0,2,373.76,114.84
计数器,放电计数器,378.1,2.7109756097560975,0.0,1,105.868,139.47
轴承,自润滑轴承,808.1,6.879268292682927,0.0,2,121.215,117.47
辅助触头,微动开关组件,905.9,8.15731707317073,0.0,2,199.298,111.05
阀片,氧化锌阀片,200.1,1.3329268292682928,0.6,1,360.18,150.12
