月份,消耗数量
2023-01-01,293.4
2023-02-01,266.9
2023-03-01,257.3
2023-04-01,279.6
2023-05-01,283.8
2023-06-01,273.9
2023-07-01,373.2
2023-08-01,373.5
2023-09-01,328.8
2023-10-01,248.8
2023-11-01,223.7
2023-12-01,298.6
2024-01-01,318.9
2024-02-01,250.5
2024-03-01,242.2
2024-04-01,261.1
2024-05-01,292.3
2024-06-01,283.5
2024-07-01,396.7
2024-08-01,350.4
2024-09-01,275.2
2024-10-01,232.3
2024-11-01,220.9
2024-12-01,306.5
2025-01-01,310.8
2025-02-01,243.4
2025-03-01,241.5
2025-04-01,237.4
2025-05-01,278.2
2025-06-01,236.7
2025-07-01,320.7
2025-08-01,412.5
2025-09-01,261.7
2025-10-01,243.4
2025-11-01,239.1
2025-12-01,305.0
2026-01-01,290.2
2026-02-01,204.6
2026-03-01,210.0
2026-04-01,272.6
2026-05-01,303.0
