备件名称,规格型号,采购周期（天）,安全库存,期末库存,采购周期评价
SF6气体,电子级SF6,17.0,2.0,2.0707317073170732,正常
SF6气体,高纯SF6,31.0,2.0,0.0,采购周期较长
传感器,微水/SF6密度传感器,28.0,1.0,1.648780487804878,正常
冷却风扇,轴流风机YFLA,7.0,1.0,0.16829268292682928,正常
变压器油,45#变压器油,24.0,1.0,0.017073170731707315,正常
套管,110kV电容式套管,30.0,1.0,1.8146341463414635,正常
密封件,硅橡胶密封圈,29.0,2.0,0.01951219512195122,正常
密封件套装,氟橡胶O型圈,21.0,3.0,0.0,正常
密封垫,耐油橡胶垫圈,40.0,2.0,0.4146341463414634,采购周期较长
密封垫组,全氟橡胶密封套装,21.0,2.0,2.0853658536585367,正常
操作机构弹簧,合闸弹簧组,43.0,1.0,0.02682926829268293,采购周期较长
操作机构组件,弹簧操动机构,24.0,1.0,1.6853658536585365,正常
操作杆,不锈钢操作杆,39.0,1.0,0.19024390243902442,采购周期较长
放电电阻,瓷外壳放电电阻,29.0,1.0,0.6682926829268292,正常
有载分接开关,M型有载调压,11.0,1.0,1.424390243902439,正常
温度计,双金属温度计,44.0,2.0,0.2951219512195122,采购周期较长
灭弧室触头,铜钨合金触指,30.0,1.0,0.0,正常
熔断器,喷射式熔断器,27.0,3.0,0.22926829268292684,正常
瓷套,复合外套,22.0,1.0,1.0560975609756096,正常
电容器单元,BAM型并联电容器,20.0,2.0,1.4585365853658536,正常
绝缘件,环氧树脂绝缘件,27.0,1.0,1.9048780487804877,正常
绝缘套管,环氧树脂套管,38.0,1.0,0.9536585365853659,采购周期较长
绝缘子,棒形支柱绝缘子,23.0,1.0,0.32926829268292684,正常
触指弹簧,铜合金触指,34.0,2.0,0.0,采购周期较长
计数器,放电计数器,43.0,1.0,0.014634146341463414,采购周期较长
轴承,自润滑轴承,43.0,2.0,0.0,采购周期较长
辅助触头,微动开关组件,12.0,2.0,0.0,正常
阀片,氧化锌阀片,13.0,1.0,0.18536585365853658,正常
