月份,备件消耗量,故障次数,检修次数
2023-01-01,293.4,10,18
2023-02-01,266.9,8,16
2023-03-01,257.3,8,404
2023-04-01,279.6,6,439
2023-05-01,283.8,12,63
2023-06-01,273.9,10,393
2023-07-01,373.2,11,60
2023-08-01,373.5,14,15
2023-09-01,328.8,10,11
2023-10-01,248.8,11,19
2023-11-01,223.7,6,6
2023-12-01,298.6,10,19
2024-01-01,318.9,11,20
2024-02-01,250.5,12,11
2024-03-01,242.2,6,21
2024-04-01,261.1,7,405
2024-05-01,292.3,9,48
2024-06-01,283.5,8,400
2024-07-01,396.7,19,55
2024-08-01,350.4,14,20
2024-09-01,275.2,7,384
2024-10-01,232.3,8,65
2024-11-01,220.9,11,17
2024-12-01,306.5,7,17
2025-01-01,310.8,7,14
2025-02-01,243.4,9,12
2025-03-01,241.5,11,12
2025-04-01,237.4,5,380
2025-05-01,278.2,7,88
2025-06-01,236.7,13,396
2025-07-01,320.7,14,56
2025-08-01,412.5,22,15
2025-09-01,261.7,9,15
2025-10-01,243.4,11,17
2025-11-01,239.1,7,12
2025-12-01,305.0,9,13
2026-01-01,290.2,9,14
2026-02-01,204.6,6,19
2026-03-01,210.0,4,19
2026-04-01,272.6,7,388
2026-05-01,303.0,5,60
