设备编号,设备名称,设备类型,电压等级,所属变电站,所属区域,制造商,投运日期,设计寿命（年）,已运行年限,额定参数,运行状态,年龄风险原始,故障次数,累计修复时间,严重故障次数,严重故障占比,故障风险原始,MTTR(h),MTBF(h),设备可用率,平均巡检评分,巡检次数,缺陷次数,缺陷率,检修次数,平均延期天数,延期次数,延期率,平均负荷率,最大负荷率,平均油温,绝缘电阻,故障风险得分,可靠性得分,运行状态得分,巡检状态得分,检修状态得分,基础风险得分,健康评分,健康等级
EQ-0088,前海110kV_电力变压器_02,电力变压器,220kV,前海110kV变电站,华南,西门子,2021-07-23,30,5,rated_capacity_mva=36.4; rated_current_a=103.2,正常运行,0.16666666666666666,1.0,12.0,0.0,,1.0,8.7,29504.75,0.9995934959349594,86.3425,80,10,0.125,10,1.6,1,0.1,0.5297804878048781,0.6599414634146341,60.78536585365853,11168.487804878048,100.0,96.78870235099855,70.60257514864855,74.42125,82.0,97.3753280839895,87.57897580832838,优
EQ-0348,武侯110kV_电力变压器_03,电力变压器,35kV,武侯110kV变电站,西南,保变电气,2015-07-07,30,11,rated_capacity_mva=107.9; rated_current_a=377.1,检修停运,0.36666666666666664,1.0,12.0,0.0,,1.0,8.7,29504.75,0.9995934959349594,87.9025,40,3,0.075,10,0.0,0,0.0,0.5268756097560976,0.6642829268292684,57.50975609756098,9397.073170731708,100.0,96.78870235099855,63.01726406714488,82.70125,100.0,75.32808398950132,86.89918918257882,优
EQ-0145,临港110kV_避雷器_03,避雷器,110kV,临港110kV变电站,华东,河南久盛,2020-05-17,20,6,rated_voltage_kv=95.4,正常运行,0.3,1.0,12.0,0.0,,1.0,8.7,29504.75,0.9995934959349594,86.89,40,2,0.05,10,0.0,0,0.0,0.536990243902439,0.6730658536585366,58.81707317073171,9012.036585365855,100.0,96.78870235099855,56.563332580459594,85.945,100.0,82.67716535433071,86.8298735217247,优
EQ-0140,临港110kV_隔离开关_04,隔离开关,110kV,临港110kV变电站,华东,新东北电气,2013-05-17,30,13,rated_current_a=1551.9,正常运行,0.43333333333333335,1.0,12.0,0.0,,1.0,8.7,29504.75,0.9995934959349594,86.42894736842106,38,0,0.0,10,0.0,0,0.0,0.5396219512195122,0.6729487804878049,58.81707317073171,9012.036585365855,100.0,96.78870235099855,56.291697444858976,93.21447368421053,100.0,67.97900262467192,86.3961512742703,优
EQ-0138,临港110kV_隔离开关_02,隔离开关,110kV,临港110kV变电站,华东,长征电气,2015-05-28,30,11,rated_current_a=1059.3,正常运行,0.36666666666666664,1.0,1.9,0.0,0.0,1.0,1.9,29518.1,0.9999356368563685,88.21351351351352,37,1,0.02702702702702703,9,0.0,0,0.0,0.5585243902439024,0.6994780487804878,58.81707317073171,9012.036585365855,100.0,99.66218320761544,51.93331808508487,90.0527027027027,100.0,75.32808398950132,86.35981406289561,优
EQ-0406,成都高新35kV_避雷器_02,避雷器,35kV,成都高新35kV变电站,西南,河南久盛,2018-04-26,20,8,rated_voltage_kv=104.9,正常运行,0.4,1.0,12.0,0.0,,1.0,8.7,29504.75,0.9995934959349594,87.77073170731707,41,4,0.0975609756097561,10,0.0,0,0.0,0.5121463414634146,0.6324170731707317,58.81707317073171,9012.036585365855,100.0,96.78870235099855,62.800095509374195,79.25121951219512,100.0,71.65354330708661,85.9707968296125,优
EQ-0347,武侯110kV_电力变压器_02,电力变压器,110kV,武侯110kV变电站,西南,保变电气,2014-10-05,30,12,rated_capacity_mva=40.5; rated_current_a=210.7,正常运行,0.4,1.0,2.4,0.0,0.0,1.0,2.4,29517.6,0.9999186991869918,86.43076923076923,39,5,0.1282051282051282,11,0.6363636363636364,1,0.09090909090909091,0.5035390243902439,0.6267975609756097,55.517073170731706,9247.780487804877,100.0,99.45182402222154,70.70108591631862,73.98461538461538,83.63636363636364,71.65354330708661,85.65726498974537,优
EQ-0395,成都高新35kV_电力变压器_01,电力变压器,220kV,成都高新35kV变电站,西南,西门子,2015-09-19,30,11,rated_capacity_mva=47.4; rated_current_a=610.0,正常运行,0.36666666666666664,1.0,12.0,0.0,,1.0,8.7,29504.75,0.9995934959349594,87.5525641025641,78,6,0.07692307692307693,10,2.1,1,0.1,0.5273609756097561,0.6607219512195122,55.926829268292686,9321.487804878048,100.0,96.78870235099855,65.0764699171605,82.23782051282052,82.0,75.32808398950132,85.44151592950503,优
EQ-0403,成都高新35kV_电容器组_01,电容器组,10kV,成都高新35kV变电站,西南,西门子,2013-06-10,20,13,rated_capacity_mvar=22.5,正常运行,0.65,1.0,7.4,0.0,0.0,1.0,7.4,29512.6,0.9997493224932249,86.98205128205129,39,1,0.02564102564102564,9,0.0,0,0.0,0.49869024390243905,0.6192951219512195,58.81707317073171,9012.036585365855,100.0,97.34823216828244,65.3957742919595,89.64487179487179,100.0,44.094488188976385,85.40498088017681,优
EQ-0130,临港110kV_电力变压器_02,电力变压器,110kV,临港110kV变电站,华东,保变电气,2018-02-15,30,8,rated_capacity_mva=229.1; rated_current_a=127.8,正常运行,0.26666666666666666,1.0,9.1,0.0,0.0,1.0,9.1,29510.9,0.9996917344173443,87.46000000000001,40,4,0.1,10,2.1,1,0.1,0.5489926829268293,0.6895902439024391,57.6219512195122,9894.609756097561,100.0,96.63301093794314,61.718553998588504,78.73,82.0,86.35170603674541,85.31498359098087,优
