设备编号,设备名称,设备类型,电压等级,所属变电站,所属区域,制造商,投运日期,设计寿命（年）,已运行年限,额定参数,运行状态,年龄风险原始,故障次数,累计修复时间,严重故障次数,严重故障占比,故障风险原始,MTTR(h),MTBF(h),设备可用率,平均巡检评分,巡检次数,缺陷次数,缺陷率,检修次数,平均延期天数,延期次数,延期率,平均负荷率,最大负荷率,平均油温,绝缘电阻,故障风险得分,可靠性得分,运行状态得分,巡检状态得分,检修状态得分,基础风险得分,健康评分,健康等级
EQ-0393,重庆两江220kV_GIS组合电器_02,GIS组合电器,220kV,重庆两江220kV变电站,西南,ABB,2009-12-05,35,17,rated_current_a=2495.8; sf6_pressure_mpa=0.5,正常运行,0.4857142857142857,3.0,66.3,1.0,0.3333333333333333,5.0,22.099999999999998,9817.9,0.9977540650406505,86.05679012345679,81,11,0.13580246913580246,9,1.6666666666666667,1,0.1111111111111111,0.6442609756097561,0.7987073170731708,59.75609756097561,8593.90243902439,63.63636363636363,64.46419411942522,29.733301896766957,72.65802469135802,80.0,62.20472440944882,59.86776625697792,预警
EQ-0427,大连开发区35kV_电力变压器_01,电力变压器,220kV,大连开发区35kV变电站,东北,西电集团,2007-06-10,30,19,rated_capacity_mva=34.8; rated_current_a=376.1,正常运行,0.6333333333333333,3.0,19.7,1.0,0.3333333333333333,5.0,6.566666666666666,9833.433333333332,0.9993326558265583,83.95802469135803,81,16,0.19753086419753085,13,2.3846153846153846,3,0.23076923076923078,0.5819,0.7340317073170732,51.760975609756095,7864.5609756097565,63.63636363636363,71.03443260757176,48.76592277558408,62.34938271604939,58.46153846153846,45.93175853018373,59.660899092301705,预警
EQ-0301,武昌110kV_断路器_04,断路器,110kV,武昌110kV变电站,华中,平高电气,2010-08-06,25,16,rated_current_a=2037.4; breaking_capacity_ka=44.2,正常运行,0.64,4.0,77.0,1.0,0.25,6.0,19.25,7360.75,0.9973915989159892,85.12972972972973,37,4,0.10810810810810811,12,4.0,3,0.25,0.5123951219512195,0.6408463414634146,58.81707317073171,8602.414634146342,54.54545454545455,62.31674507326944,59.18237390077901,76.34864864864865,55.00000000000001,45.19685039370079,59.40816976784071,预警
EQ-0404,成都高新35kV_电容器组_02,电容器组,35kV,成都高新35kV变电站,西南,思源电气,2019-10-09,20,7,rated_capacity_mvar=20.0,正常运行,0.35,3.0,53.3,2.0,0.6666666666666666,7.0,17.766666666666666,9822.233333333334,0.9981944444444445,87.88717948717948,39,5,0.1282051282051282,11,0.0,0,0.0,0.6691902439024391,0.8242073170731709,58.81707317073171,9012.036585365855,45.45454545454546,66.29709326847897,29.10724062317663,74.71282051282051,100.0,77.16535433070867,59.36796165196143,预警
EQ-0396,成都高新35kV_电力变压器_02,电力变压器,35kV,成都高新35kV变电站,西南,特变电工,2014-12-20,30,12,rated_capacity_mva=201.4; rated_current_a=132.7,正常运行,0.4,3.0,80.19999999999999,2.0,0.6666666666666666,7.0,26.73333333333333,9813.266666666666,0.9972831978319783,85.58461538461539,39,5,0.1282051282051282,12,4.416666666666667,3,0.25,0.5531414634146341,0.6888560975609755,57.36829268292683,9423.560975609756,45.45454545454546,62.50440195236005,58.434045799610715,73.56153846153846,55.00000000000001,71.65354330708661,59.25091101396995,预警
EQ-0260,天津滨海220kV_断路器_05,断路器,220kV,天津滨海220kV变电站,华北,ABB,2009-12-18,25,17,rated_current_a=2215.8; breaking_capacity_ka=47.8,正常运行,0.68,3.0,81.9,0.0,0.0,3.0,27.3,9812.699999999999,0.9972256097560975,84.90128205128205,78,12,0.15384615384615385,10,4.7,2,0.2,0.6692536585365854,0.8364975609756097,58.81707317073171,8551.609756097561,81.81818181818181,62.2647151405607,24.81634393381736,69.37371794871795,64.0,40.78740157480316,58.75555511920908,预警
EQ-0431,大连开发区35kV_断路器_03,断路器,220kV,大连开发区35kV变电站,东北,河南森源,2006-04-02,25,20,rated_current_a=3201.8; breaking_capacity_ka=45.2,正常运行,0.8,1.0,49.1,0.0,0.0,1.0,49.1,29470.9,0.9983367208672087,83.3641975308642,81,19,0.2345679012345679,10,5.0,4,0.4,0.6921,0.8661585365853659,58.81707317073171,7760.975609756098,100.0,79.80427610643035,14.25969346587767,56.49691358024692,28.0,27.559055118110237,57.84323646330966,预警
EQ-0028,龙华220kV_避雷器_02,避雷器,220kV,龙华220kV变电站,华南,浙江金利华,2008-05-11,20,18,rated_voltage_kv=206.2,带病运行,0.9,2.0,9.1,0.0,0.0,2.0,4.55,14755.45,0.9996917344173443,84.00617283950618,81,16,0.19753086419753085,9,7.888888888888889,4,0.4444444444444444,0.6533780487804878,0.8130975609756098,58.81707317073171,9012.036585365855,90.9090909090909,78.5549655159321,31.778343472342165,62.37345679012346,20.0,16.535433070866162,57.80349635053271,预警
EQ-0300,武昌110kV_断路器_03,断路器,35kV,武昌110kV变电站,华中,平高电气,2010-05-22,25,16,rated_current_a=3407.2; breaking_capacity_ka=38.5,备用,0.64,3.0,36.6,1.0,0.3333333333333333,5.0,12.200000000000001,9827.800000000001,0.998760162601626,85.3763157894737,38,10,0.2631578947368421,11,2.0,1,0.09090909090909091,0.6525317073170731,0.8068829268292683,58.81707317073171,8743.829268292682,63.63636363636363,68.65166371380188,30.549743231300965,53.21447368421053,83.63636363636364,45.19685039370079,56.61486475374951,预警
EQ-0330,长沙星沙110kV_断路器_01,断路器,35kV,长沙星沙110kV变电站,华中,西门子,2016-03-14,25,10,rated_current_a=3658.1; breaking_capacity_ka=40.2,备用,0.4,3.0,30.1,2.0,0.6666666666666666,7.0,10.033333333333333,9829.966666666667,0.9989803523035231,85.75526315789473,38,2,0.05263157894736842,11,6.181818181818182,4,0.36363636363636365,0.6510975609756098,0.8080975609756097,58.81707317073171,9801.585365853658,45.45454545454546,69.56811328832875,37.955189333641584,84.9828947368421,34.54545454545455,71.65354330708661,56.235630883810856,预警
EQ-0276,天津滨海220kV_避雷器_04,避雷器,220kV,天津滨海220kV变电站,华北,中国西电,2008-07-09,20,18,rated_voltage_kv=101.4,正常运行,0.9,4.0,88.7,0.0,0.0,4.0,22.175,7357.825,0.9969952574525744,85.00253164556962,79,10,0.12658227848101267,11,7.363636363636363,4,0.36363636363636365,0.5772829268292683,0.7174390243902439,58.81707317073171,9012.036585365855,72.72727272727273,61.0762353021297,48.343978169099834,73.51392405063291,34.54545454545455,16.535433070866162,56.201038245291095,预警
